subject,site,block_type,d_prime,p_perm_dprime,hit_rate,fa_rate,accuracy,criterion,cos_ci_true,ci_p_two,ci_p_pos,cos_w_true,spec_p_two,spec_p_pos,beta_truetarget,sig_dprime,sig_ci,sig_spec,n_sig,any_sig,stably_aligned
2262025001,Oberlin,imagined_sentence,0.017400150001846,1.0,0.48,0.4729729729729729,0.5033557046979866,0.0581932001927863,0.0133470614746102,0.8811188811188811,0.4275724275724276,0.3223852382948209,0.0547263681592039,0.0348258706467661,0.016038874943241,False,False,True,1,True,True
3032025001,Oberlin,full_sentence,0.1216737207456692,0.6263736263736264,0.44,0.3918918918918919,0.5234899328859061,0.2098047794029999,0.032986323960663,0.7142857142857143,0.3496503496503496,0.3954580731228889,0.044776119402985,0.0348258706467661,0.1446693873638673,False,False,True,1,True,True
3032025002,Oberlin,full_sentence,0.0494931251918633,0.8661338661338661,0.5,0.48,0.5100671140939598,0.0247465625959316,0.0418820557529497,0.6443556443556444,0.3456543456543456,0.0574377847110349,0.7611940298507462,0.3233830845771144,0.1372092167833799,False,False,False,0,False,True
3032025002,Oberlin,imagined_sentence,0.49066131289748,0.0459540459540459,0.3333333333333333,0.1756756756756756,0.5771812080536913,0.670034431394074,0.199324963406017,0.0309690309690309,0.0139860139860139,0.3341794117757779,0.0796019900497512,0.0497512437810945,0.7501728061442493,True,True,True,3,True,True
3062025001,Oberlin,full_sentence,0.2494797373275137,0.2457542457542457,0.5866666666666667,0.4864864864864865,0.5503355704697986,-0.0913119338335016,0.0976330785268291,0.2737262737262737,0.1318681318681318,0.2340677968735572,0.2189054726368159,0.1194029850746268,0.410071561691906,False,False,False,0,False,True
3062025002,Oberlin,full_sentence,0.3216661544958306,0.1698301698301698,0.2702702702702703,0.1733333333333333,0.5503355704697986,0.7635956226109724,0.1321437201722912,0.1468531468531468,0.0769230769230769,0.1817445685643747,0.3781094527363184,0.1990049751243781,0.5115044685356083,False,False,False,0,False,True
3102025002,Oberlin,full_sentence,0.1825876849839965,0.4135864135864135,0.5466666666666666,0.4729729729729729,0.5369127516778524,-0.0244005672982888,0.0574084065632977,0.5364635364635365,0.2547452547452547,0.0439282820269008,0.845771144278607,0.472636815920398,0.2347999998051591,False,False,False,0,False,True
3132026002,Oberlin,full_sentence,-0.0485341985186955,0.8631368631368631,0.44,0.4594594594594595,0.4899328859060403,0.1247008197708175,0.0111777349727682,0.9050949050949052,0.4865134865134865,0.1538857183017434,0.4378109452736318,0.2388059701492537,0.0112903477217609,False,False,False,0,False,True
3172026001,Oberlin,imagined_sentence,0.0833944761835707,0.7312687312687313,0.3783783783783784,0.3466666666666667,0.5167785234899329,0.3471780261911827,0.0721254329572711,0.4325674325674326,0.2117882117882117,0.0670128484416032,0.736318407960199,0.3233830845771144,0.205490989700571,False,False,False,0,False,True
3192026001,Oberlin,full_sentence,0.1897863783091102,0.3946053946053946,0.6216216216216216,0.5466666666666666,0.5369127516778524,-0.2105875989448422,0.0403753137460809,0.6633366633366633,0.3286713286713286,0.1063676662417814,0.5621890547263682,0.2537313432835821,0.3016768054017388,False,False,False,0,False,True
3202026001,Oberlin,full_sentence,0.2160518024972585,0.3246753246753247,0.5,0.4133333333333333,0.5436241610738255,0.1080259012486292,0.0974657871796313,0.2797202797202797,0.1188811188811188,0.1526143425391672,0.472636815920398,0.2189054726368159,0.3646395143221246,False,False,False,0,False,True
3202026001,Oberlin,imagined_sentence,0.0164917230218579,1.0,0.5,0.4933333333333333,0.5033557046979866,0.0082458615109289,0.0208562379141752,0.8211788211788211,0.4025974025974026,0.2503242893318438,0.1990049751243781,0.1094527363184079,0.0359399813532903,False,False,False,0,False,True
3202026002,Oberlin,full_sentence,0.3168360814465311,0.1228771228771228,0.527027027027027,0.4,0.5637583892617449,0.0915247655295562,0.1614199700578269,0.0779220779220779,0.0419580419580419,0.4229120447996023,0.0149253731343283,0.0099502487562189,0.4799079996315042,False,True,True,2,True,True
4142026001,Oberlin,full_sentence,0.124643024590537,0.6133866133866134,0.4133333333333333,0.3648648648648648,0.5234899328859061,0.278373314792527,0.0265160246148754,0.7452547452547452,0.3896103896103896,0.2033629441468661,0.3681592039800995,0.154228855721393,0.1507509314570676,False,False,False,0,False,True
4142026001,Oberlin,imagined_sentence,0.1233246006142368,0.6283716283716284,0.3378378378378378,0.2933333333333333,0.5234899328859061,0.4741254297485232,0.025919809849789,0.7792207792207793,0.3696303696303696,0.2681929027977899,0.1840796019900497,0.099502487562189,0.1728548195242978,False,False,False,0,False,True
4142026002,Oberlin,full_sentence,0.1829822534155826,0.4265734265734265,0.5333333333333333,0.4594594594594595,0.5369127516778524,0.0089425938036784,0.109405835844201,0.2407592407592407,0.1128871128871128,0.2420730751058926,0.2487562189054726,0.1094527363184079,0.2285961397368305,False,False,False,0,False,True
4142026002,Oberlin,imagined_sentence,0.283370741083077,0.1888111888111888,0.5135135135135135,0.4,0.5570469798657718,0.1082574357112832,0.1660941094907237,0.0849150849150849,0.0379620379620379,0.2951445564455875,0.1592039800995024,0.099502487562189,0.4393409139282478,False,True,False,1,True,True
3292026001,UChicago,imagined_sentence,0.1156944097902871,0.6213786213786214,0.5,0.4533333333333333,0.5234899328859061,0.0578472048951435,0.0617879426990135,0.4905094905094905,0.2387612387612387,0.0708662258253017,0.7313432835820896,0.3980099502487562,0.2660624646040478,False,False,False,0,False,True
4042026001,UChicago,full_sentence,0.1835806891838514,0.3786213786213786,0.52,0.4459459459459459,0.5369127516778524,0.0422972194000623,0.079322368627108,0.3896103896103896,0.2017982017982018,0.1320063874613947,0.4825870646766169,0.2139303482587064,0.3407764249789231,False,False,False,0,False,True
4042026002,UChicago,full_sentence,0.2526197410338633,0.2497502497502497,0.5066666666666667,0.4054054054054054,0.5503355704697986,0.1098181474950738,0.0973205167317202,0.2967032967032967,0.1458541458541458,0.1243558290308389,0.4577114427860697,0.208955223880597,0.4263059855174284,False,False,False,0,False,True
4042026002,UChicago,imagined_sentence,0.0822664749600319,0.7802197802197802,0.4864864864864865,0.4533333333333333,0.5167785234899329,0.0745611723102711,0.0354425772128318,0.7152847152847153,0.3456543456543456,0.2002799481139285,0.3383084577114428,0.1741293532338308,0.1365953522589684,False,False,False,0,False,True
4062026001,UChicago,imagined_sentence,0.1159764677343681,0.5994005994005994,0.5333333333333333,0.4864864864864865,0.5234899328859061,-0.0245602990369288,0.0636656453200574,0.4545454545454545,0.2237762237762237,0.3347414456737135,0.0845771144278607,0.0497512437810945,0.459689511698464,False,False,True,1,True,True
4182026001,UChicago,full_sentence,0.1230735652649232,0.6313686313686314,0.4266666666666667,0.3783783783783784,0.5234899328859061,0.2439440054669357,0.042975342900609,0.6333666333666333,0.3276723276723277,0.2273345953640267,0.208955223880597,0.0796019900497512,0.1660434668292614,False,False,False,0,False,True
4192026001,UChicago,full_sentence,0.3869671825851357,0.0889110889110889,0.64,0.4864864864864865,0.5771812080536913,-0.1600556564623126,0.1614245667862049,0.0789210789210789,0.0399600399600399,0.3328681872777673,0.0796019900497512,0.044776119402985,0.5574394810714826,False,True,True,2,True,True
4192026002,UChicago,imagined_sentence,0.2531055272434105,0.2357642357642357,0.64,0.5405405405405406,0.5503355704697986,-0.2269864841331751,0.1268231789263982,0.1858141858141858,0.0959040959040959,0.2365570137536977,0.2437810945273631,0.1243781094527363,0.4200022181332394,False,False,False,0,False,True
