comparison,pearson_r,p_value
tt_contrib_vs_wall_sq,0.6225587838115414,2.6217514e-317
tt_contrib_vs_abs_wall,0.5746181538279198,9.840073276140798e-260
tt_contrib_vs_wall,0.2239901198869586,5.631663335935161e-35
dd_contrib_vs_wall_sq,0.006975947667581908,0.7044080056849592
dd_contrib_vs_abs_wall,0.011382228635627852,0.5359040554564815
td_contrib_vs_wall_sq,-0.06330059486621145,0.0005691059235180505
tt_signagree_vs_abs_wall,0.45353113038613174,3.927297669513346e-150
