subject,block_type,bin5,n,response_rate,hit_rate,fa_rate,accuracy
2242025001,full_sentence,first5,50,0.48,0.375,0.5769230769230769,0.4
2242025001,full_sentence,mid5,50,0.6,0.6428571428571429,0.5454545454545454,0.56
2242025001,full_sentence,last5,49,0.5102040816326531,0.4782608695652174,0.5384615384615384,0.46938775510204084
2242025001,imagined_sentence,first5,50,0.66,0.6153846153846154,0.7083333333333334,0.46
2242025001,imagined_sentence,mid5,50,0.58,0.5862068965517241,0.5714285714285714,0.52
2242025001,imagined_sentence,last5,49,0.5306122448979592,0.631578947368421,0.4666666666666667,0.5714285714285714
2262025001,full_sentence,first5,50,0.42,0.4827586206896552,0.3333333333333333,0.56
2262025001,full_sentence,mid5,50,0.56,0.5,0.625,0.44
2262025001,full_sentence,last5,49,0.5918367346938775,0.7368421052631579,0.5,0.5918367346938775
2262025001,imagined_sentence,first5,50,0.48,0.44,0.52,0.46
2262025001,imagined_sentence,mid5,50,0.48,0.5454545454545454,0.42857142857142855,0.56
2262025001,imagined_sentence,last5,49,0.46938775510204084,0.4642857142857143,0.47619047619047616,0.4897959183673469
3032025001,full_sentence,first5,50,0.42,0.5416666666666666,0.3076923076923077,0.62
3032025001,full_sentence,mid5,50,0.34,0.3333333333333333,0.3448275862068966,0.52
3032025001,full_sentence,last5,49,0.4897959183673469,0.43333333333333335,0.5789473684210527,0.42857142857142855
3032025001,imagined_sentence,first5,50,0.58,0.6521739130434783,0.5185185185185185,0.56
3032025001,imagined_sentence,mid5,50,0.5,0.4166666666666667,0.5769230769230769,0.42
3032025001,imagined_sentence,last5,49,0.6122448979591837,0.5357142857142857,0.7142857142857143,0.42857142857142855
3032025002,full_sentence,first5,50,0.5,0.5714285714285714,0.4482758620689655,0.56
3032025002,full_sentence,mid5,50,0.52,0.48148148148148145,0.5652173913043478,0.46
3032025002,full_sentence,last5,49,0.4489795918367347,0.46153846153846156,0.43478260869565216,0.5102040816326531
3032025002,imagined_sentence,first5,50,0.16,0.24,0.08,0.58
3032025002,imagined_sentence,mid5,50,0.32,0.32,0.32,0.5
3032025002,imagined_sentence,last5,49,0.2857142857142857,0.44,0.125,0.6530612244897959
3062025001,full_sentence,first5,50,0.56,0.5909090909090909,0.5357142857142857,0.52
3062025001,full_sentence,mid5,50,0.5,0.5,0.5,0.5
