subject,block_type,beta_tsr,beta_truetarget,beta_tsr_x_truth,beta_pos,beta_pos_x_truth,intercept
2242025001,full_sentence,-0.04440360165833829,-0.17034073216589135,0.23391600260293174,0.1119210630016117,-0.21717898286185322,0.20902273557754222
2242025001,imagined_sentence,-0.42966950832736195,0.06692086565248664,0.33106522405935485,0.4957407931887722,-0.8944934145180393,0.3668065559831843
2262025001,full_sentence,0.3076931552515033,0.2969468892999163,-0.022728215824754452,-0.018712684032941865,0.369349869057684,-0.05763546598519856
2262025001,imagined_sentence,0.0016136720033581675,0.016038874943241088,0.05172609193033261,0.11798301050591696,-0.07251552299744364,-0.10225297541922496
3032025001,full_sentence,0.31650171442896957,0.1446693873638673,-0.3478117048805206,0.16222265970370905,-0.059675896850147396,-0.4008820638793841
3032025001,imagined_sentence,0.3712423585122065,-0.24664121458797167,-0.4654248656610142,-0.10774878747689898,0.37762372434831676,0.40957640827226277
3032025002,full_sentence,0.008092442762057166,0.13720921678337997,-0.14985446499380803,0.36666487321503116,-0.24189531147189425,-0.11805583406231096
3032025002,imagined_sentence,0.16463067459413971,0.7501728061442493,0.2154870016713083,-0.40826278318705095,0.5372106137693394,-1.507275544945052
3062025001,full_sentence,-0.1993256280216779,0.41007156169190606,0.12417503535941031,-0.11723189964198119,0.013571492270004874,-0.06735827359864095
3062025001,imagined_sentence,-0.3304062758020904,0.04847859564543954,0.24955886490263998,-0.018542298638889836,0.12283889285571885,0.14109982112545424
3062025002,full_sentence,-0.36488235630097904,0.5115044685356083,0.5155919720680234,0.027480623847527422,-0.28954634881011854,-1.5646295487777218
3062025002,imagined_sentence,0.0303636429842749,-0.10565712779892603,-0.028568928473654578,0.22233069232633001,-0.24391855302213053,-0.5825113243878114
3102025001,full_sentence,-0.21542557478711172,0.4324593330079902,0.09359334748609054,-0.3324421264364059,-0.46249386170858375,-0.1447157609701085
3102025001,imagined_sentence,0.263645133023868,-0.07732659407221827,0.015951530958725316,-0.6459288068334511,0.12051720190140687,-0.5481399639321052
3102025002,full_sentence,0.09624122369595191,0.23479999980515914,0.031270895906876976,-0.056038265236917566,0.07063565358101451,-0.07673363853954317
