subject,block_type,drift_slope,first_seg_mean,last_seg_mean
2242025001,full_sentence,0.001962481962481985,0.5333333333333333,0.42857142857142855
2242025001,imagined_sentence,0.0036652236652236696,0.6666666666666666,0.7857142857142857
2262025001,full_sentence,0.013362193362193396,0.4,0.7857142857142857
2262025001,imagined_sentence,0.006810966810966815,0.4666666666666667,0.42857142857142855
3032025001,full_sentence,0.012871572871572883,0.3333333333333333,0.42857142857142855
3032025001,imagined_sentence,0.010937950937950934,0.5333333333333333,0.7857142857142857
3032025002,full_sentence,0.020808080808080796,0.5333333333333333,0.5
3032025002,imagined_sentence,-0.010245310245310252,0.4,0.07142857142857142
3062025001,full_sentence,-0.009235209235209239,0.6,0.5714285714285714
3062025001,imagined_sentence,0.005310245310245307,0.5333333333333333,0.5714285714285714
3062025002,full_sentence,-0.008773448773448758,0.13333333333333333,0.14285714285714285
3062025002,imagined_sentence,0.00911976911976912,0.2,0.2857142857142857
3102025001,full_sentence,-0.045281385281385256,0.6,0.21428571428571427
3102025001,imagined_sentence,-0.04623376623376623,0.5333333333333333,0.2857142857142857
3102025002,full_sentence,-0.003290043290043292,0.4666666666666667,0.42857142857142855
3102025002,imagined_sentence,-0.04404040404040402,0.4666666666666667,0.0
3132025001,full_sentence,0.013679653679653674,0.4,0.42857142857142855
3132025001,imagined_sentence,-0.011226551226551244,0.6,0.35714285714285715
3132026002,full_sentence,-0.01555555555555558,0.5333333333333333,0.5
3132026002,imagined_sentence,-0.019711399711399718,0.4666666666666667,0.35714285714285715
3172026001,full_sentence,0.00597402597402597,0.6666666666666666,0.6428571428571429
3172026001,imagined_sentence,-0.027243867243867268,0.6666666666666666,0.2857142857142857
3192026001,full_sentence,0.024271284271284263,0.5333333333333333,0.7857142857142857
3192026001,imagined_sentence,-0.0034343434343434226,0.5333333333333333,0.5
3202026001,full_sentence,0.014747474747474744,0.13333333333333333,0.5
3202026001,imagined_sentence,0.009610389610389626,0.5333333333333333,0.6428571428571429
3202026002,full_sentence,0.024300144300144315,0.26666666666666666,0.5714285714285714
3202026002,imagined_sentence,0.026204906204906227,0.26666666666666666,0.42857142857142855
3292026001,full_sentence,-0.014603174603174587,0.5333333333333333,0.42857142857142855
3292026001,imagined_sentence,0.027243867243867237,0.4,0.7142857142857143
4032026001,full_sentence,-0.011370851370851363,0.4666666666666667,0.42857142857142855
4032026001,imagined_sentence,-0.00987012987012985,0.4,0.2857142857142857
4042026001,full_sentence,-0.009494949494949518,0.6,0.5
4042026001,imagined_sentence,0.0018181818181818188,0.5333333333333333,0.5
4042026002,full_sentence,0.0012698412698412668,0.4,0.5714285714285714
4042026002,imagined_sentence,-0.018383838383838395,0.5333333333333333,0.5
4042026003,full_sentence,0.00880230880230884,0.5333333333333333,0.6428571428571429
4042026003,imagined_sentence,-0.005858585858585842,0.4,0.5
4062026001,full_sentence,-0.0008658008658008385,0.4,0.42857142857142855
4062026001,imagined_sentence,-0.007301587301587328,0.7333333333333333,0.21428571428571427
4142026001,full_sentence,-0.026435786435786444,0.6,0.2857142857142857
4142026001,imagined_sentence,0.0014141414141413929,0.6,0.5
4142026002,full_sentence,-0.017546897546897554,0.6,0.2857142857142857
4142026002,imagined_sentence,-0.007590187590187588,0.6,0.35714285714285715
4182026001,full_sentence,-0.04395382395382391,0.6666666666666666,0.35714285714285715
4182026001,imagined_sentence,0.029321789321789332,0.4,0.2857142857142857
4182026002,full_sentence,-0.014747474747474764,0.4666666666666667,0.5
4182026002,imagined_sentence,0.014862914862914845,0.6,0.6428571428571429
4192026001,full_sentence,-0.025916305916305903,0.5333333333333333,0.42857142857142855
4192026001,imagined_sentence,0.010822510822510846,0.5333333333333333,0.6428571428571429
4192026002,full_sentence,0.0034343434343434252,0.6,0.5
4192026002,imagined_sentence,0.00369408369408372,0.5333333333333333,0.5714285714285714
