group,n,mean_full,mean_imag,mean_diff,sd_diff,wilcoxon_W,wilcoxon_p,paired_t,t_p,perm_p,cohens_d_paired
UChicago,10,0.5040268456375838,0.4899328859060403,0.014093959731543631,0.06425295839681565,21.0,0.54296875,0.6936492126498253,0.5054089125943814,0.5084,0.2193511409155928
Oberlin,16,0.526006711409396,0.5100671140939598,0.01593959731543623,0.046165846440150406,31.5,0.1867486634233554,1.3810726798738882,0.18748649406112128,0.1908,0.34526816996847204
Unified,26,0.517552916881776,0.5023231801755291,0.015229736706246768,0.05259134033448238,99.5,0.1488325017560678,1.476606683878632,0.15226767024650437,0.1544,0.2895863959614876
