Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,2980140137236600,0,0.0
button_click:actual_audio,2980159509339000,19372.102,19.372102
button_click:target_0,2980162774667300,3265.328,3.265328
button_click:target_1,2980167858064700,5083.397,5.083397
button_click:target_2,2980170942279500,3084.215,3.084215
button_click:actual_audio,2980173790893200,2848.614,2.848614
button_click:distractor_0,2980177852578900,4061.686,4.061686
button_click:distractor_1,2980180501447600,2648.869,2.648869
button_click:distractor_2,2980183019462800,2518.015,2.518015
button_click:target_0,2980186151081600,3131.619,3.131619
button_click:distractor_0,2980188724916600,2573.835,2.573835
button_click:target_0,2980191212379000,2487.462,2.487462
button_click:target_1,2980193898575900,2686.197,2.686197
button_click:distractor_1,2980195950371500,2051.796,2.051796
button_click:target_1,2980198514369200,2563.998,2.563998
button_click:distractor_1,2980211109087600,12594.718,12.594718
button_click:target_1,2980214300155000,3191.067,3.191067
button_click:target_2,2980217000876000,2700.721,2.700721
button_click:distractor_2,2980219188965400,2188.089,2.188089
button_click:target_2,2980221734609100,2545.644,2.545644
button_click:target_2,2980224321244700,2586.636,2.586636
button_click:distractor_1,2980226628734900,2307.490,2.307490
button_click:target_1,2980230590403500,3961.669,3.961669
button_click:continue,2980232768214300,2177.811,2.177811
