subject_number,block_name,trial_number,play_count,timestamp
04192026002,imagined_sentence,15,3,2026-04-19 13:23:13
04192026002,imagined_sentence,30,3,2026-04-19 13:26:08
04192026002,imagined_sentence,45,3,2026-04-19 13:29:04
04192026002,imagined_sentence,60,3,2026-04-19 13:31:33
04192026002,imagined_sentence,75,3,2026-04-19 13:34:21
04192026002,imagined_sentence,90,3,2026-04-19 13:36:50
04192026002,imagined_sentence,105,3,2026-04-19 13:39:19
04192026002,imagined_sentence,120,3,2026-04-19 13:41:33
04192026002,imagined_sentence,135,3,2026-04-19 13:43:49
