subject_number,block_index,block_scheme,pre_or_post,time,response,response_text
03292026001,1,imagined_sentence,pre,2026-03-29 13:24:50,3,3 - Awake; but relaxed; responsive but not fully alert
03292026001,1,imagined_sentence,post,2026-03-29 13:38:54,3,3 - Awake; but relaxed; responsive but not fully alert
03292026001,2,full_sentence,pre,2026-03-29 13:43:08,3,3 - Awake; but relaxed; responsive but not fully alert
03292026001,2,full_sentence,post,2026-03-29 13:59:22,3,3 - Awake; but relaxed; responsive but not fully alert
