test,observed,null_mean,null_std,percentile,p_value,tail
white_noise_null_mean_tt,0.00561322315850301,-6.190183734312192e-06,0.00017383636613799868,1.0,0.001996007984031936,two-sided
white_noise_null_mean_dd,-0.00016651764857816592,-3.940772399793858e-06,0.0001724140772723389,0.17,0.3333333333333333,two-sided
label_perm_mean_tt_above_relabeled,0.00561322315850301,0.0013990093221114392,0.0002232201082326006,1.0,0.0001999600079984003,one-sided (>=)
label_perm_mean_dd_below_relabeled,-0.00016651764857816592,0.0013928392414414448,0.00022288095501659595,0.0,0.0001999600079984003,one-sided (<=)
label_perm_separation_tt_minus_dd,0.0057797408070811756,6.170080669994458e-06,0.00041094993940915043,1.0,0.0001999600079984003,two-sided
label_perm_separation_tt_minus_td,0.005532140554159259,-6.522322637181603e-07,0.00026888039785663543,1.0,0.0001999600079984003,two-sided
