subject,block_type,n_yes,n_no,splithalf_wave,splithalf_spec,null_wave,null_spec
2242025001,full_sentence,79,70,0.012291351047919093,0.01790011095504031,-0.00030867814825004196,-0.01255398194419985
2262025001,full_sentence,78,71,0.0011121375914501645,0.027445228406486954,-0.0015902362042759482,0.0002727192761649384
3032025001,full_sentence,62,87,0.009975089232508044,0.0034079921343742004,0.020773379498100087,-0.006302787813037464
3032025002,full_sentence,73,76,0.01179856588726944,-0.02107159707345855,0.009794261313744217,0.006453266765780373
3062025001,full_sentence,80,69,0.003982659799431266,-0.03067608257594726,-0.02107396494623082,-0.004832386759151891
3062025002,full_sentence,33,116,-0.020057160008731215,-0.024004368259658685,0.00902419732294981,0.01761044955777199
3102025001,full_sentence,76,73,-0.007983384155144779,-0.019058782568715932,-0.013549745439447996,-0.011483127378770018
3102025002,full_sentence,76,73,0.018228430424722726,-0.020178517719963863,0.016049546256305666,0.024097669374165007
3132025001,full_sentence,70,79,-0.0177440112549621,-0.006270267775331501,0.016475581187291657,-0.0015532553405452232
3132026002,full_sentence,67,82,0.01022034772321933,0.02128152072431865,-0.020434312036372724,0.007638650702022549
3172026001,full_sentence,55,94,0.006635984994926545,0.013965525452326558,0.007393925049150294,-0.0027469884763939995
3192026001,full_sentence,87,62,0.018331946036538913,0.004310520893893435,-0.013938068727057065,0.021682129139835582
3202026001,full_sentence,68,81,-0.0010076811791294897,-0.016555783226514572,0.027432980758746468,0.00764599453062005
3202026002,full_sentence,69,80,0.012834780146429909,-0.046768023900344534,0.028879452634857476,0.008643433571973896
3292026001,full_sentence,84,65,-0.0019894490947244157,-0.0011718501426877413,-0.013927133543163663,-0.011379696211333577
4032026001,full_sentence,70,79,-0.01727248246455952,-0.010470322070688305,-0.0014181048188644406,0.01805107250305691
4042026001,full_sentence,72,77,0.013534206331311026,-0.019065174277255185,0.006798491973358487,0.02630155717297497
4042026002,full_sentence,68,81,-0.006510617585779732,-0.014371681550467766,0.007965382010160397,0.028570875228656964
4042026003,full_sentence,82,67,-0.012834128788312587,0.028816644440193134,0.025037032024657423,0.0012474869303286556
4062026001,full_sentence,68,81,0.014109567832930483,0.012855046419259813,-0.023524609390900068,0.017446829308628155
4142026001,full_sentence,58,91,0.004558079289031672,-0.009306365702346157,-0.02409308236385289,0.015106958485314475
4142026002,full_sentence,74,75,0.0027112106684812395,-0.0022319453955219237,0.015606309193528898,0.00035299639927693194
4182026001,full_sentence,60,89,-0.0034234999035401103,0.01940306482999484,0.0004167344798357745,-0.0003051086934449856
4182026002,full_sentence,67,82,-0.011488692052489093,0.022882883457059976,0.011476011923305808,-0.02203916926714722
4192026001,full_sentence,84,65,0.0035526690826160547,0.021747460421672707,-0.0032391580990923765,-0.03417632869580878
4192026002,full_sentence,84,65,-0.01294456259222745,0.005999696874590827,0.008702225612276815,0.031011105133596253
2242025001,imagined_sentence,88,61,-0.008242835104912654,0.009387604571295819,0.010440384663087544,0.009745860534959565
2262025001,imagined_sentence,71,78,0.016682421853819254,0.006541529694985897,0.026563622201845,0.012255602246631449
3032025001,imagined_sentence,84,65,8.94120855752361e-05,-0.006073705213346722,-0.0013989612533488608,-0.00018733265260289302
3032025002,imagined_sentence,38,111,-0.016429555132616347,-0.03130666091460368,-0.0009882230592134949,-0.02835060903641433
3062025001,imagined_sentence,80,69,-0.020850495190874944,-0.013113719608278998,0.0063399897763189465,-0.004277311546008268
3062025002,imagined_sentence,52,97,0.012736463330223482,-0.019525007289112245,-0.022863447869696213,0.0009550842433119426
3102025001,imagined_sentence,55,94,-0.0035822983401252294,-0.007201809356502939,-0.009066615242932898,0.0015925167144895834
3102025002,imagined_sentence,65,84,0.0015939233714130743,0.0032372669553682666,-0.002653919912624925,-0.039459504148467696
3132025001,imagined_sentence,75,74,-0.010419434660046129,0.006531661536915376,0.0018939567133441212,-0.03323824062151606
3132026002,imagined_sentence,52,97,0.002416037618735365,-0.038738253913354226,0.01097101908162524,0.038026197067593255
3172026001,imagined_sentence,54,95,0.011374271355842814,0.020455175404661744,0.00810988920270143,0.015013967686217067
3192026001,imagined_sentence,73,76,-0.0003325480899528459,0.016194465340954044,-0.005278606230170949,0.011765354456606193
3202026001,imagined_sentence,74,75,0.0028535159616650454,-0.0326049514438324,-0.010556944046681734,-0.035970048423262894
3202026002,imagined_sentence,65,84,-0.0116389060802448,0.004038746459314902,0.010656211206898724,0.014802963421153075
3292026001,imagined_sentence,71,78,0.0015492552794905859,0.00716562567631565,-0.0077413754195925465,-0.016667376536089153
4032026001,imagined_sentence,57,92,0.003591878384695929,-0.010562074531775302,-0.010040539544651774,-0.0052821799525111035
4042026001,imagined_sentence,70,79,-0.022551771535771065,-0.03135884966637346,0.02836905168439989,0.0147727195991137
4042026002,imagined_sentence,70,79,0.013050664008155627,-0.025445854086637767,-0.0062361924333133876,-0.03395557244432277
4042026003,imagined_sentence,79,70,-0.01614566641805321,0.004128005412722747,-0.0207433436580946,0.023098345330490752
4062026001,imagined_sentence,76,73,0.011797807729824179,-0.034315269461072634,-0.015358362631787213,-0.010706923752339184
4142026001,imagined_sentence,47,102,-0.026601093535078543,-0.022888560629811552,-0.008365882471530046,-0.0026204007844330413
4142026002,imagined_sentence,68,81,0.015021438511290355,0.006551161459459767,0.013691778136186468,0.01246826155663721
4182026001,imagined_sentence,76,73,0.041136208451316686,-0.010231575722329295,-0.002682497313955023,0.013897806643938833
4182026002,imagined_sentence,77,72,-0.011778741964087283,0.02374332617822106,0.0009300197193842349,0.0017273135995250217
4192026001,imagined_sentence,91,58,-0.0014206846325214922,-0.006146736305542675,-0.020764970831059167,0.010567246390650814
4192026002,imagined_sentence,88,61,0.026752422613308225,0.006785940972798236,-0.001169065602325524,-0.01891962296444115
