subject_number,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
04042026003,6,5,6,6,6,5,6,6,6,5,5,6,5,5
04042026003,6,5,6,6,6,5,6,6,6,5,5,6,5,5
