subject_number,block_name,trial_number,play_count,timestamp
02262025001,imagined_sentence,15,3,2026-02-26 15:10:16
02262025001,imagined_sentence,30,3,2026-02-26 15:11:52
02262025001,imagined_sentence,45,3,2026-02-26 15:13:39
02262025001,imagined_sentence,60,3,2026-02-26 15:15:03
02262025001,imagined_sentence,75,3,2026-02-26 15:16:16
02262025001,imagined_sentence,90,3,2026-02-26 15:17:34
02262025001,imagined_sentence,105,3,2026-02-26 15:18:42
02262025001,imagined_sentence,120,3,2026-02-26 15:19:51
02262025001,imagined_sentence,135,3,2026-02-26 15:20:59
