block_type,model,spearman_r,p_perm
full_sentence,label,-0.001585323157939966,0.8640679660169915
full_sentence,pearson_raw,0.0011886084712694413,0.9025487256371814
full_sentence,lagged_xcorr_max,-0.0004454956623939258,0.9655172413793104
full_sentence,envelope_corr,-0.004160145241718007,0.7556221889055472
full_sentence,log_spectrum_corr,-0.000635945162290822,0.9545227386306847
full_sentence,mfcc_cosine,0.0036738141293651827,0.7051474262868566
imagined_sentence,label,-0.004429867693120277,0.6326836581709145
imagined_sentence,pearson_raw,0.0031033943514596585,0.7346326836581709
imagined_sentence,lagged_xcorr_max,0.004367150799992252,0.6431784107946027
imagined_sentence,envelope_corr,-0.00227629892246924,0.8725637181409296
imagined_sentence,log_spectrum_corr,-0.029373553076174053,0.005997001499250375
imagined_sentence,mfcc_cosine,-0.017855868663023522,0.0559720139930035
