subject_number,block_name,trial_number,play_count,timestamp
04142026002,full_sentence,15,3,2026-04-14 16:28:17
04142026002,full_sentence,30,3,2026-04-14 16:30:02
04142026002,full_sentence,45,3,2026-04-14 16:31:35
04142026002,full_sentence,60,3,2026-04-14 16:33:10
04142026002,full_sentence,75,3,2026-04-14 16:34:45
04142026002,full_sentence,90,3,2026-04-14 16:36:19
04142026002,full_sentence,105,3,2026-04-14 16:38:00
04142026002,full_sentence,120,3,2026-04-14 16:39:29
04142026002,full_sentence,135,3,2026-04-14 16:40:53
