subject_number,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
03192026001,4,5,7,7,7,7,7,7,7,7,6,6,6,6
03192026001,4 - Could Change the Image but With Effort,5,7 - Extremely Easy to Change the Image,7 - Extremely Easy to Change the Image,7 - Extremely Easy to Change the Image,7 - Extremely Easy to Change the Image,7 - Extremely Easy to Change the Image,7 - Extremely Easy to Change the Image,7 - Extremely Easy to Change the Image,7 - Extremely Easy to Change the Image,6,6,6,6
