subject_number,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
03192026001,1,1,1,0,1,0,0,0,1,1,1,0,0,1
03192026001,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes
