subject,block_type,stimulus_number,true_label,subject_response,site,called_target,true_target,trial_index,pearson_raw_contrast,lagged_xcorr_max_contrast,envelope_corr_contrast,log_spectrum_corr_contrast,mfcc_cosine_contrast,trial_index_z
2242025001,full_sentence,80741,target,target,Oberlin,1,1,0,0.004331426229327917,-0.0007655955851078033,0.004411041736602783,0.007675230503082275,-0.0019064182415604591,-1.7146819611962056
2242025001,full_sentence,930786,distractor,distractor,Oberlin,0,0,1,-0.0026648014318197966,-2.7280300855636597e-05,0.005822539329528809,-0.005093991756439209,-0.03837411850690842,-1.6915105833422028
2242025001,full_sentence,2645024,distractor,target,Oberlin,1,0,2,0.0036848646122962236,0.0004560835659503937,0.0063797831535339355,0.00394788384437561,-0.013671660795807838,-1.6683392054882
2242025001,full_sentence,847501,distractor,target,Oberlin,1,0,3,-0.0014719306491315365,-0.0004775822162628174,0.0159720778465271,-0.000510096549987793,0.03919411823153496,-1.6451678276341972
2242025001,full_sentence,1974580,distractor,target,Oberlin,1,0,4,-0.003681384027004242,-0.0009387992322444916,0.009496688842773438,-0.00020165741443634033,0.022663915529847145,-1.6219964497801944
2242025001,full_sentence,1921945,distractor,distractor,Oberlin,0,0,5,0.002175354165956378,0.000792335718870163,0.010691285133361816,0.0028066635131835938,0.01446126401424408,-1.5988250719261916
2242025001,full_sentence,2474088,target,distractor,Oberlin,0,1,6,0.0011722338385879993,0.00013950839638710022,-0.009599089622497559,0.0012818574905395508,-0.018599826842546463,-1.575653694072189
2242025001,full_sentence,2216495,target,target,Oberlin,1,1,7,0.00817122496664524,-0.00014789775013923645,-0.0019873380661010742,0.0016860514879226685,-0.012397978454828262,-1.5524823162181862
2242025001,full_sentence,490292,distractor,target,Oberlin,1,0,8,0.006361527368426323,0.000627223402261734,0.014935791492462158,0.00016765296459197998,-0.029705535620450974,-1.5293109383641834
2242025001,full_sentence,2514923,target,target,Oberlin,1,1,9,0.009793666191399097,-0.0001806393265724182,0.010239660739898682,0.0033254623413085938,-0.0967787355184555,-1.5061395605101806
2242025001,full_sentence,1067883,distractor,distractor,Oberlin,0,0,10,0.0005945436423644423,0.0008485578000545502,0.019999802112579346,-0.0036273598670959473,0.03121808171272278,-1.4829681826561778
2242025001,full_sentence,1797030,distractor,distractor,Oberlin,0,0,11,-0.004191710148006678,-0.00040806829929351807,0.005977928638458252,-0.0010549575090408325,-0.015820547938346863,-1.459796804802175
2242025001,full_sentence,1430067,target,target,Oberlin,1,1,12,0.007450620178133249,5.2966177463531494e-05,0.009495794773101807,-0.004331454634666443,-0.03735595569014549,-1.4366254269481722
2242025001,full_sentence,1372543,distractor,distractor,Oberlin,0,0,13,-0.0019363390747457743,-0.0007789060473442078,-0.009647905826568604,0.004759177565574646,0.040289949625730515,-1.4134540490941694
2242025001,full_sentence,1286055,distractor,distractor,Oberlin,0,0,14,0.0012785234721377492,-0.0004971064627170563,0.0020641684532165527,-0.0005584508180618286,-0.014831282198429108,-1.3902826712401668
2242025001,full_sentence,2634690,distractor,distractor,Oberlin,0,0,15,-0.000897497870028019,-0.0008573122322559357,0.0036281943321228027,-0.002780541777610779,-0.024075396358966827,-1.367111293386164
2242025001,full_sentence,2070670,target,distractor,Oberlin,0,1,16,0.0032881945371627808,8.995085954666138e-05,-0.006386458873748779,-0.0003193467855453491,-0.02707589603960514,-1.3439399155321612
2242025001,full_sentence,1248677,distractor,target,Oberlin,1,0,17,0.000838651554659009,-0.00023547932505607605,0.011990725994110107,0.002532467246055603,0.0072379084303975105,-1.3207685376781584
2242025001,full_sentence,1361457,target,distractor,Oberlin,0,1,18,0.0064711603336036205,-0.0008070506155490875,0.008898556232452393,-0.007616251707077026,0.006489060819149017,-1.2975971598241556
2242025001,full_sentence,552066,distractor,distractor,Oberlin,0,0,19,-0.002505948068574071,-1.5698373317718506e-05,0.005584836006164551,-0.0005668699741363525,-0.008956133387982845,-1.2744257819701528
2242025001,full_sentence,2501681,target,distractor,Oberlin,0,1,20,-0.0004709404893219471,-0.001739315688610077,-0.0007023811340332031,0.00053444504737854,-0.006998460739850998,-1.25125440411615
2242025001,full_sentence,2649655,target,target,Oberlin,1,1,21,0.0027454420924186707,-7.411465048789978e-05,0.014774978160858154,-0.0001016855239868164,0.05408565327525139,-1.2280830262621472
2242025001,full_sentence,1558811,target,distractor,Oberlin,0,1,22,0.004721144214272499,0.001207944005727768,0.00016987323760986328,-0.0015117824077606201,-0.025742080062627792,-1.2049116484081446
2242025001,full_sentence,1841210,target,distractor,Oberlin,0,1,23,0.0029457255732268095,0.00179218128323555,0.0143318772315979,0.006186142563819885,-0.02993863821029663,-1.1817402705541418
2242025001,full_sentence,1084017,target,target,Oberlin,1,1,24,0.002697339514270425,0.001395098865032196,0.005372047424316406,-0.00117550790309906,0.018148280680179596,-1.158568892700139
