subset,quest,perf,n,rho,p
A_dprime_pos,BAIS_V,d_prime,18,0.09086217008485094,0.7199217381548456
A_dprime_pos,BAIS_V,cos_ci_true,18,-0.014455345240771739,0.9546021434641245
A_dprime_pos,BAIS_V,cos_w_true,18,-0.3479608104385769,0.15707889712370765
A_dprime_pos,BAIS_V,beta_truetarget,18,0.10325246600551242,0.6834889837539562
A_dprime_pos,BAIS_V,accuracy,18,0.09205746178983233,0.7163804976937308
A_dprime_pos,BAIS_V,hit_rate,18,0.26497933884297525,0.2879418276554936
A_dprime_pos,BAIS_V,fa_rate,18,0.14521965763538078,0.5653283911169578
A_dprime_pos,BAIS_V,criterion,18,-0.23438309783251324,0.3491981519475754
A_dprime_pos,BAIS_C,d_prime,18,0.2665290678409192,0.2850256751556826
A_dprime_pos,BAIS_C,cos_ci_true,18,0.22933896535148857,0.35996313920228873
A_dprime_pos,BAIS_C,cos_w_true,18,-0.3264464551850018,0.18612326619630423
A_dprime_pos,BAIS_C,beta_truetarget,18,0.28099188547569776,0.258683995738556
A_dprime_pos,BAIS_C,accuracy,18,0.286781629856793,0.24858129619000555
A_dprime_pos,BAIS_C,hit_rate,18,0.3648579298597112,0.13656271572674794
A_dprime_pos,BAIS_C,fa_rate,18,0.18769389865563593,0.4557783851714855
A_dprime_pos,BAIS_C,criterion,18,-0.31198363755022324,0.20754090776357156
A_dprime_pos,VHQ,d_prime,18,0.08155427231959225,0.7476787302495774
A_dprime_pos,VHQ,cos_ci_true,18,0.12442254366707024,0.622788721238326
A_dprime_pos,VHQ,cos_w_true,18,-0.08259983991343318,0.7445452904556153
A_dprime_pos,VHQ,beta_truetarget,18,0.09514665103952429,0.707253907675891
A_dprime_pos,VHQ,accuracy,18,0.02860169491525423,0.9103021946311523
A_dprime_pos,VHQ,hit_rate,18,0.03347544065084812,0.8950916302442059
A_dprime_pos,VHQ,fa_rate,18,0.0853018351581337,0.7364655009624107
A_dprime_pos,VHQ,criterion,18,-0.09514665103952429,0.707253907675891
A_dprime_pos,TAS,d_prime,18,0.10766097466613746,0.6706802056712777
A_dprime_pos,TAS,cos_ci_true,18,0.13975222673008225,0.5802096916866385
A_dprime_pos,TAS,cos_w_true,18,-0.2826100584986108,0.25583493670472857
A_dprime_pos,TAS,beta_truetarget,18,0.2028995291784898,0.41938925995472187
A_dprime_pos,TAS,accuracy,18,0.07131974340475873,0.7785424057585416
A_dprime_pos,TAS,hit_rate,18,-0.13205637226612815,0.6014318096241096
A_dprime_pos,TAS,fa_rate,18,-0.20621805947709934,0.411658617064405
A_dprime_pos,TAS,criterion,18,0.16770267207609874,0.5059491905136689
A_dprime_pos,LSHS,d_prime,18,0.3710598774834451,0.12952413366288257
A_dprime_pos,LSHS,cos_ci_true,18,0.3338505304377514,0.17575162757942892
A_dprime_pos,LSHS,cos_w_true,18,-0.0857882167997937,0.7350138343248159
A_dprime_pos,LSHS,beta_truetarget,18,0.3896645510062919,0.10994187095362463
A_dprime_pos,LSHS,accuracy,18,0.3214872954431437,0.19329369621088466
A_dprime_pos,LSHS,hit_rate,18,0.10134441820214189,0.6890585996276407
A_dprime_pos,LSHS,fa_rate,18,-0.037247806329392216,0.8833419777570503
A_dprime_pos,LSHS,criterion,18,-0.03307497515172769,0.896340208377404
A_dprime_pos,DES,d_prime,18,0.4524795802880721,0.059372915993650556
A_dprime_pos,DES,cos_ci_true,18,0.4359506458483252,0.0705261771913438
A_dprime_pos,DES,cos_w_true,18,0.11570254107822847,0.6475388607298314
A_dprime_pos,DES,beta_truetarget,18,0.38119855051666346,0.11857180648058414
A_dprime_pos,DES,accuracy,18,0.391446458271681,0.10818410029844235
A_dprime_pos,DES,hit_rate,18,-0.12093024870704307,0.6326566906576678
A_dprime_pos,DES,fa_rate,18,-0.2745604963805584,0.27020285766562846
A_dprime_pos,DES,criterion,18,0.18388439564218453,0.46513880338073443
A_dprime_pos,FSS,d_prime,18,0.16935451121453554,0.5017069769304832
A_dprime_pos,FSS,cos_ci_true,18,-0.09766456474948675,0.6998429995590348
A_dprime_pos,FSS,cos_w_true,18,-0.17974435852831072,0.4754196285724386
A_dprime_pos,FSS,beta_truetarget,18,0.1839002974538208,0.46509953139607013
A_dprime_pos,FSS,accuracy,18,0.19947766275206288,0.42744060283296725
A_dprime_pos,FSS,hit_rate,18,0.3331665633538742,0.17669305443740008
A_dprime_pos,FSS,fa_rate,18,0.21009184077367202,0.40273189960150424
A_dprime_pos,FSS,criterion,18,-0.2690970454267773,0.280233307837007
A_dprime_pos,SSS_mean,d_prime,18,-0.2144800279902742,0.3927476093451224
A_dprime_pos,SSS_mean,cos_ci_true,18,-0.2134388628058554,0.3951041885325013
A_dprime_pos,SSS_mean,cos_w_true,18,-0.002082330368837614,0.9934571970941372
A_dprime_pos,SSS_mean,beta_truetarget,18,-0.2884027560840095,0.24579783913834
A_dprime_pos,SSS_mean,accuracy,18,-0.2325970072285646,0.3529886471305004
A_dprime_pos,SSS_mean,hit_rate,18,-0.03489704505732395,0.8906612412510085
A_dprime_pos,SSS_mean,fa_rate,18,0.022929309137494525,0.9280423499547984
A_dprime_pos,SSS_mean,criterion,18,-0.021864468872794945,0.93137644086769
B_dprime_ge_0p10,BAIS_V,d_prime,15,0.2071428571428571,0.4588428049634703
B_dprime_ge_0p10,BAIS_V,cos_ci_true,15,0.04642857142857142,0.8694915255450948
B_dprime_ge_0p10,BAIS_V,cos_w_true,15,-0.3714285714285714,0.17284974708034007
B_dprime_ge_0p10,BAIS_V,beta_truetarget,15,0.18214285714285713,0.5158816817070393
B_dprime_ge_0p10,BAIS_V,accuracy,15,0.2190306226217134,0.4328618906301231
