stimulus_number,r_score,mean_r_to_others,y_pred,residual
1556070,0.0942698344588279,0.006224735681300518,0.006282091513578882,-5.735583227836367e-05
2030905,0.0927642583847045,0.005840364830587584,0.006230660105106361,-0.0003902952745187772
2070670,0.0924653932452201,0.0051442293390740555,0.0062204506873750325,-0.001076221348300977
1535124,0.0894588083028793,0.007831815440842183,0.006117743889004254,0.0017140715518379288
2204421,0.0891602933406829,0.006863691355102169,0.006107546433545338,0.0007561449215568311
1303598,0.0861368998885154,0.007709976010502709,0.00600426544609865,0.0017057105644040591
2241916,0.0855035707354545,0.0031945219647724447,0.00598263053111264,-0.0027881085663401953
173924,0.0852311477065086,0.007193120433145773,0.005973324392206842,0.0012197960409389306
1377011,0.0848953276872634,0.00572431477706716,0.005961852572961106,-0.0002375377958939457
116637,0.0837493538856506,0.007060781477053021,0.005922705400192786,0.0011380760768602343
2363886,0.0834676772356033,0.005582035163751421,0.005913083151875519,-0.0003310479881240974
914835,0.0831763222813606,0.005446674114333062,0.005903130286710021,-0.00045645617237695824
2417183,0.0830207541584968,0.006666617909776599,0.005897815983560662,0.0007688019262159368
955718,0.082951970398426,0.0050395452578913535,0.005895466287838687,-0.0008559210299473336
696985,0.0815733671188354,0.006780507674621169,0.005848372348440464,0.0009321353261807046
2514923,0.0814768001437187,0.006861358092008509,0.005845073560934775,0.0010162845310737337
2029437,0.0813588872551918,0.005382088537113641,0.005841045583844655,-0.0004589570467310143
2276260,0.0809814780950546,0.004279778299520613,0.005828153053862343,-0.0015483747543417305
785460,0.0806186646223068,0.005966756459748293,0.005815759121574936,0.0001509973381733573
2035948,0.0804626271128654,0.0060336232109929385,0.005810428783890214,0.0002231944271027242
732981,0.0802231803536415,0.003705021113776446,0.005802249134722878,-0.0020972280209464317
19389,0.0799410492181778,0.004016769005676616,0.0057926113609031125,-0.0017758423552264964
1881701,0.0796229392290115,0.003909595421201791,0.005781744527221841,-0.0018721491060200495
338947,0.0790712907910347,0.006468483780449531,0.005762899875905678,0.0007055839045438531
1204336,0.0786877498030662,0.005122890380630051,0.00574979787889789,-0.0006269074982678396
1702273,0.0785914957523346,0.006288712551817258,0.005746509781082445,0.0005422027707348131
1152401,0.0783548727631568,0.00804481787339826,0.005738426593643724,0.002306391279754535
1500770,0.0777642279863357,0.004823833251654031,0.005718249803310141,-0.00089441655165611
