stimulus_number,r_score,mean_r_to_others
1556070,0.0942698344588279,0.006224735681300518
2030905,0.0927642583847045,0.005840364830587584
2070670,0.0924653932452201,0.0051442293390740555
1535124,0.0894588083028793,0.007831815440842183
2204421,0.0891602933406829,0.006863691355102169
1303598,0.0861368998885154,0.007709976010502709
2241916,0.0855035707354545,0.0031945219647724447
173924,0.0852311477065086,0.007193120433145773
1377011,0.0848953276872634,0.00572431477706716
116637,0.0837493538856506,0.007060781477053021
2363886,0.0834676772356033,0.005582035163751421
914835,0.0831763222813606,0.005446674114333062
2417183,0.0830207541584968,0.006666617909776599
955718,0.082951970398426,0.0050395452578913535
696985,0.0815733671188354,0.006780507674621169
2514923,0.0814768001437187,0.006861358092008509
2029437,0.0813588872551918,0.005382088537113641
2276260,0.0809814780950546,0.004279778299520613
785460,0.0806186646223068,0.005966756459748293
2035948,0.0804626271128654,0.0060336232109929385
732981,0.0802231803536415,0.003705021113776446
19389,0.0799410492181778,0.004016769005676616
1881701,0.0796229392290115,0.003909595421201791
338947,0.0790712907910347,0.006468483780449531
1204336,0.0786877498030662,0.005122890380630051
1702273,0.0785914957523346,0.006288712551817258
1152401,0.0783548727631568,0.00804481787339826
1500770,0.0777642279863357,0.004823833251654031
1022427,0.0773827955126762,0.007839507562517209
2675662,0.0771070942282676,0.0041136882660090576
2354618,0.0769063085317611,0.004326784643056405
1916328,0.076814591884613,0.007514487200848334
1225298,0.0766312777996063,0.00615352804674649
894078,0.0765897035598754,0.004981540098782024
2365445,0.0764548182487487,0.004430231408145239
2216495,0.0762607231736183,0.005456555096334413
2433065,0.0759425014257431,0.0047273690002660965
150539,0.0759424418210983,0.009208125600985311
514473,0.0758942887187004,0.005978412695890139
1760150,0.0758485347032547,0.005457583712038176
1746525,0.0758475065231323,0.006266802177955779
307913,0.0756560415029525,0.004430724715841189
2649655,0.0752369537949562,0.004331331104837051
1619569,0.0752095431089401,0.007666655578724207
2474088,0.0751778930425643,0.007021548519498427
854858,0.0751737207174301,0.007611884269350222
389188,0.0751158595085144,0.005183165352321115
1182143,0.0750392079353332,0.0022075406566781797
1512885,0.0749863311648368,0.005714603970807633
1325540,0.0748486593365669,0.006143153042402986
80741,0.0748065039515495,0.007910852266079826
1806338,0.0746368169784545,0.004219784105422408
138781,0.0743864476680755,0.005944927651533362
2487625,0.0743585973978042,0.0033448346916495507
2534050,0.0743560865521431,0.004833338962283046
578254,0.0743019357323646,0.004793745869271731
1555690,0.0742774754762649,0.005314908518761447
744480,0.0741706416010856,0.0073162699879915265
2654756,0.0741545781493187,0.003795515528082257
314781,0.0737608447670936,0.004588775334412198
1736013,0.0737009271979332,0.005116074619318678
592916,0.0736427307128906,0.004412550330084519
1883593,0.073530338704586,0.006186872950601782
1430067,0.0734785422682762,0.006591058444945474
135747,0.0734634697437286,0.006189916957104523
1038202,0.0734268873929977,0.0072400721604698156
2522869,0.0734153687953949,0.008231407561051979
1128380,0.073407158255577,0.006105403387892769
435296,0.073391854763031,0.007633545542654314
1152436,0.0733034238219261,0.006180807320063546
270720,0.0732781514525413,0.005274174513888099
2357409,0.0732773840427398,0.0073589038368907815
1946948,0.0731722712516784,0.007778781291693298
2253127,0.0731705203652381,0.005755204616807119
616206,0.0731658264994621,0.0067124719990347016
1976046,0.0729962214827537,0.004143194512569957
164296,0.072929061949253,0.007268593318024817
953491,0.0728413537144661,0.004915407195915878
1359799,0.0728188455104827,0.003379892002224433
996037,0.0728053674101829,0.006982038627837809
765496,0.0727888941764831,0.005742448098436845
177749,0.072768285870552,0.0027635064741691816
436049,0.0727560445666313,0.004996611924459942
137369,0.0727019160985946,0.004303148141671038
422402,0.072694256901741,0.008044837129381035
6207,0.072645217180252,0.0035429833895504587
469558,0.0726171433925628,0.004325558499042838
1084017,0.0725786909461021,0.004104727106091835
1848811,0.0724739655852317,0.005059400371719996
424719,0.0724734365940094,0.007672308594262798
1106952,0.0723568871617317,0.005134538119597181
2690790,0.0722360834479332,0.006488086418672792
1474554,0.0720016732811927,0.003755236825276172
2501681,0.0719847753643989,0.006250396355609484
2065486,0.0718830078840255,0.004641321343321611
776327,0.0718338415026664,0.005823405527353231
279298,0.071789413690567,0.00541485535543261
2066255,0.0717657059431076,0.004416405123242034
1588337,0.0717033669352531,0.006467290426085132
2025857,0.0716329962015152,0.005047923976101753
2241357,0.0715778842568397,0.006035259337706208
656999,0.0715305879712104,0.0054285661549863555
341881,0.0714935660362243,0.0036238399023292606
1693893,0.0714795738458633,0.005754409741824654
1585751,0.0714575201272964,0.003064276908659745
754888,0.0714431032538414,0.006002079312249114
1361028,0.0714312717318534,0.00328870354993035
1361457,0.0713959112763404,0.005582786975780602
214879,0.0713700205087661,0.007589252193177087
2274164,0.071320079267025,0.004103693521769192
2375287,0.071264773607254,0.005327818070687181
1882578,0.0712457746267318,0.0015370612039524768
936885,0.0712048634886741,0.0033704712915424346
988974,0.0711853355169296,0.008363409996981538
1841210,0.0711730793118476,0.005163364953594197
1055025,0.0711266547441482,0.00666082180644335
603509,0.0711117163300514,0.004817965089056549
1154913,0.0710639208555221,0.00652337687318522
1192087,0.0710573494434356,0.005167988551345105
2530401,0.071030206978321,0.004777618499169467
1300288,0.0710252001881599,0.00686568181748999
793673,0.0710099637508392,0.0039732680312610305
