metric,n,mean_b1,mean_b2,mean_diff_b2_minus_b1,W,p
d_prime,26,0.007914693857204492,0.09849873866840894,0.09058404481120447,110.0,0.0993349552154541
cos_ci_true,26,0.010620044558354937,0.0374851416539078,0.02686509709555287,134.0,0.3031630218029022
cos_w_true,26,0.011193508966703994,0.09389833324039878,0.08270482427369477,119.0,0.15736517310142517
beta_truetarget,26,0.018850886790698285,0.17557961243494524,0.15672872564424692,104.0,0.07092106342315674
