site,subject,block_type,block_order_index,summary_dprime,d_prime,cos_ci_true,cos_w_true,beta_truetarget
Oberlin,2242025001,full_sentence,1,-0.1191990476477317,-0.1175958409701302,0.0082200713405826,-0.2592120315446147,-0.1703407321658913
Oberlin,2242025001,imagined_sentence,2,0.0895244602405942,0.0882344169413606,0.069250733678546,-0.226040140704614,0.0669208656524866
Oberlin,2262025001,imagined_sentence,1,0.017645031976502,0.017400150001846,0.0133470614746102,0.3223852382948209,0.016038874943241
Oberlin,2262025001,full_sentence,2,0.152622313645229,0.150579287013846,0.0407433153490081,-0.0659889837722205,0.2969468892999163
Oberlin,3032025001,imagined_sentence,1,-0.1557284287646237,-0.1535794851078928,-0.050787828968927,-0.1256419112974174,-0.2466412145879716
Oberlin,3032025001,full_sentence,2,0.1234222723632596,0.1216737207456692,0.032986323960663,0.3954580731228889,0.1446693873638673
Oberlin,3032025002,full_sentence,1,0.0501535834647336,0.0494931251918633,0.0418820557529497,0.0574377847110349,0.1372092167833799
Oberlin,3032025002,imagined_sentence,2,0.5012440130477329,0.49066131289748,0.199324963406017,0.3341794117757779,0.7501728061442493
Oberlin,3062025001,imagined_sentence,1,0.0494454270967379,0.0488011345965778,0.0196835666310519,-0.0047161122224132,0.0484785956454395
Oberlin,3062025001,full_sentence,2,0.2528585012310517,0.2494797373275137,0.0976330785268291,0.2340677968735572,0.410071561691906
Oberlin,3062025002,imagined_sentence,1,-0.0852422255756589,-0.0840089478575383,-0.0219563973732919,0.0499841793751096,-0.105657127798926
Oberlin,3062025002,full_sentence,2,0.3290787366533815,0.3216661544958306,0.1321437201722912,0.1817445685643747,0.5115044685356083
Oberlin,3102025001,full_sentence,1,0.2527648145914822,0.249401639541635,0.0909275740905043,-0.0723603718116129,0.4324593330079902
Oberlin,3102025001,imagined_sentence,2,-0.0936571412019223,-0.0922131751995444,-0.0274463667262962,0.0934888740949763,-0.0773265940722182
Oberlin,3102025002,imagined_sentence,1,0.3230377319818257,0.3186393639643751,0.1590601012140008,-0.1146797581240101,0.3423614654622027
Oberlin,3102025002,full_sentence,2,0.1850426579792092,0.1825876849839965,0.0574084065632977,0.0439282820269008,0.2347999998051591
Oberlin,3132025001,imagined_sentence,1,0.0505914684022403,0.0499196578521132,0.0481437182546526,-0.0695442605827182,0.0877435776201481
Oberlin,3132025001,full_sentence,2,-0.1191990476477319,-0.11759584097013,-0.0659468155268205,-0.292314920218806,-0.1905384586478366
Oberlin,3132026002,imagined_sentence,1,-0.0852422255756589,-0.0840089478575383,-0.0207759876138337,-0.0629899501519664,-0.1561958486295731
Oberlin,3132026002,full_sentence,2,-0.0491736164020723,-0.0485341985186955,0.0111777349727682,0.1538857183017434,0.0112903477217609
Oberlin,3172026001,imagined_sentence,1,0.0845930005622924,0.0833944761835707,0.0721254329572711,0.0670128484416032,0.205490989700571
Oberlin,3172026001,full_sentence,2,0.0936571412019223,0.0922131751995444,0.0285642457330118,-0.2077814998110358,0.151642068529074
Oberlin,3192026001,imagined_sentence,1,-0.0171682024047432,-0.0169362118083972,-0.0222077159529397,0.1457626556395133,-0.0138866146594077
Oberlin,3192026001,full_sentence,2,0.1924984890005567,0.1897863783091102,0.0403753137460809,0.1063676662417814,0.3016768054017388
Oberlin,3202026001,imagined_sentence,1,0.0167116329987485,0.0164917230218579,0.0208562379141752,0.2503242893318438,0.0359399813532903
Oberlin,3202026001,full_sentence,2,0.2189786658275599,0.2160518024972585,0.0974657871796313,0.1526143425391672,0.3646395143221246
Oberlin,3202026002,imagined_sentence,1,-0.185548487694564,-0.1830495310591123,-0.0981427186634525,-0.1464768001745102,-0.3574654689809045
Oberlin,3202026002,full_sentence,2,0.3211457185770353,0.3168360814465311,0.1614199700578269,0.4229120447996023,0.4799079996315042
Oberlin,4142026001,full_sentence,1,0.1265064078922386,0.124643024590537,0.0265160246148754,0.2033629441468661,0.1507509314570676
Oberlin,4142026001,imagined_sentence,2,0.1253014923871658,0.1233246006142368,0.025919809849789,0.2681929027977899,0.1728548195242978
Oberlin,4142026002,full_sentence,1,0.1854473330018339,0.1829822534155826,0.109405835844201,0.2420730751058926,0.2285961397368305
Oberlin,4142026002,imagined_sentence,2,0.2872269385392915,0.283370741083077,0.1660941094907237,0.2951445564455875,0.4393409139282478
UChicago,3292026001,imagined_sentence,1,0.1172440425379736,0.1156944097902871,0.0617879426990135,0.0708662258253017,0.2660624646040478
UChicago,3292026001,full_sentence,2,-0.2930308985397815,-0.2889890650775395,-0.149368878734867,0.0001085137279498,-0.4188281547529658
UChicago,4032026001,full_sentence,1,-0.1509692154967772,-0.1489679190301653,-0.0710078635177962,-0.1862866810990805,-0.152714131682897
UChicago,4032026001,imagined_sentence,2,-0.0217250189748899,-0.0213573547902661,-0.0230848775039373,0.0082473492695155,-0.035871802569234
UChicago,4042026001,imagined_sentence,1,-0.1868963571111178,-0.1843857278099633,-0.0803889046464481,-0.28230764253376,-0.2338128682539391
UChicago,4042026001,full_sentence,2,0.1860642641112141,0.1835806891838514,0.079322368627108,0.1320063874613947,0.3407764249789231
UChicago,4042026002,imagined_sentence,1,0.0833642071344818,0.0822664749600319,0.0354425772128318,0.2002799481139285,0.1365953522589684
UChicago,4042026002,full_sentence,2,0.2560917956705013,0.2526197410338633,0.0973205167317202,0.1243558290308389,0.4263059855174284
UChicago,4042026003,full_sentence,1,-0.1850988304240681,-0.1826238676670032,-0.0891550207102573,-0.231063787952596,-0.2433679210005512
UChicago,4042026003,imagined_sentence,2,-0.3916355303980106,-0.3863360495661218,-0.1663458065382237,-0.2441406407879522,-0.5173375213103705
UChicago,4062026001,full_sentence,1,-0.0522589467393514,-0.0515390310878753,-0.0165171761528945,-0.044303407435487,-0.0847243801314328
UChicago,4062026001,imagined_sentence,2,0.1175315693106208,0.1159764677343681,0.0636656453200574,0.3347414456737135,0.459689511698464
UChicago,4182026001,imagined_sentence,1,-0.3556291340672531,-0.350861398172016,-0.1498614499710243,-0.2173208755944029,-0.4854664985131303
UChicago,4182026001,full_sentence,2,0.1248755039190877,0.1230735652649232,0.042975342900609,0.2273345953640267,0.1660434668292614
UChicago,4182026002,imagined_sentence,1,-0.2187678309380131,-0.2158611942238747,-0.0987237236252296,-0.0709795663584862,-0.3247727588151191
UChicago,4182026002,full_sentence,2,0.08653299020524,0.0853454718839927,0.0129467872748435,-0.0390753118082281,0.1740659520826595
UChicago,4192026001,full_sentence,1,0.3923386286546855,0.3869671825851357,0.1614245667862049,0.3328681872777673,0.5574394810714826
UChicago,4192026001,imagined_sentence,2,0.083657569310073,0.0825113459523694,0.0336703995234403,-0.031917264515453,0.1103437855873973
UChicago,4192026002,imagined_sentence,1,0.2566631941564887,0.2531055272434105,0.1268231789263982,0.2365570137536977,0.4200022181332394
UChicago,4192026002,full_sentence,2,-0.1557284287646237,-0.1535794851078928,-0.0836021450325147,0.0398370677570914,-0.2086911195848739
