subject,block_type,metric,k,neighbour_consistency,null_mean,null_std,p_perm,label_neighbour_consistency,accuracy
2242025001,full_sentence,pearson_raw,10,0.510148849797023,0.49792828146143436,0.01687988498863953,0.23552894211576847,0.4722972972972973,0.47333333333333333
2262025001,full_sentence,pearson_raw,10,0.5071186440677966,0.4971674576271186,0.01682943913854224,0.2894211576846307,0.5040485829959515,0.5266666666666666
3032025001,full_sentence,pearson_raw,10,0.4949221394719025,0.5106729857819905,0.016789294711221692,0.8163672654690619,0.48951994590939824,0.52
3032025002,full_sentence,pearson_raw,10,0.4972936400541272,0.49637889039242217,0.017572594571935,0.48303393213572854,0.5067385444743935,0.5066666666666667
3062025001,full_sentence,pearson_raw,10,0.5286195286195287,0.49868417508417506,0.016320096764104477,0.021956087824351298,0.5006765899864682,0.5466666666666666
3062025002,full_sentence,pearson_raw,10,0.6375929682217715,0.6526761325219743,0.01255374610810316,0.8862275449101796,0.6472184531886025,0.5466666666666666
3102025001,full_sentence,pearson_raw,10,0.5037037037037037,0.49604444444444445,0.016933344152301962,0.33532934131736525,0.493234100135318,0.5466666666666666
3102025002,full_sentence,pearson_raw,10,0.5020242914979757,0.49699730094466943,0.016533772490187466,0.40718562874251496,0.4986468200270636,0.5333333333333333
3132025001,full_sentence,pearson_raw,10,0.4631008801624915,0.49989573459715636,0.016906017538781022,0.9900199600798403,0.5138419986495611,0.47333333333333333
3132026002,full_sentence,pearson_raw,10,0.5101078167115903,0.5023908355795148,0.016377182151800465,0.313373253493014,0.5043771043771044,0.4866666666666667
3172026001,full_sentence,pearson_raw,10,0.5128032345013477,0.5311590296495956,0.017004519042746382,0.8522954091816367,0.5168918918918919,0.5133333333333333
3192026001,full_sentence,pearson_raw,10,0.5325644504748982,0.5105088195386702,0.016917147735170352,0.09181636726546906,0.5097906819716408,0.5333333333333333
3202026001,full_sentence,pearson_raw,10,0.5016857720836143,0.49924612272420765,0.0166283529634414,0.47305389221556887,0.4851551956815115,0.54
3202026002,full_sentence,pearson_raw,10,0.5215633423180593,0.49937061994609167,0.016973986163841326,0.08582834331337326,0.5209176788124157,0.56
3292026001,full_sentence,pearson_raw,10,0.5067476383265856,0.5041322537112011,0.01629775544328714,0.4630738522954092,0.5331529093369418,0.44
4032026001,full_sentence,pearson_raw,10,0.5222972972972973,0.4982810810810811,0.016769830122498934,0.08582834331337326,0.48445945945945945,0.4666666666666667
