group,n,mean_full,mean_imag,mean_diff,sd_diff,wilcoxon_W,wilcoxon_p,paired_t,t_p,perm_p,cohens_d_paired
UChicago,10,0.5040268456375838,0.4899328859060403,0.014093959731543626,0.06425295839681563,21.0,0.54296875,0.6936492126498253,0.5054089125943814,0.509,0.21935114091559277
Oberlin,16,0.526006711409396,0.5100671140939598,0.015939597315436222,0.046165846440150385,32.5,0.2089498187263008,1.3810726798738882,0.18748649406112128,0.2018,0.34526816996847204
Unified,26,0.517552916881776,0.5023231801755291,0.015229736706246761,0.052591340334482366,100.5,0.15715094303378407,1.476606683878632,0.15226767024650437,0.1533,0.28958639596148755
