block,group,n,mean,sd,ci_lo,ci_hi,wilcoxon_W,wilcoxon_p,t,t_p,cohens_d
full_sentence,UChicago,10,0.5040268456375838,0.04354665287921702,0.47919463087248315,0.5302013422818792,25.5,0.869140625,0.29242210729714224,0.7765931935913009,0.09247198972451139
full_sentence,Oberlin,16,0.526006711409396,0.026380193298031603,0.513003355704698,0.537751677852349,12.0,0.0036790969792832363,3.943369347689589,0.0013009724860204702,0.9858423369223971
full_sentence,Unified,26,0.517552916881776,0.03491620258455545,0.5041300980898297,0.5304594734124936,83.0,0.018540908979811588,2.5633562379500487,0.016766113178820805,0.5027155183691188
imagined_sentence,UChicago,10,0.4899328859060403,0.04395275772793849,0.46375838926174495,0.514765100671141,22.0,0.611328125,-0.7243006274771056,0.4872815465020976,-0.22904396935167903
imagined_sentence,Oberlin,16,0.5100671140939598,0.03278759903456154,0.49496644295302017,0.5264261744966443,47.0,0.27696759220966727,1.2281611817136093,0.2383096582425915,0.3070402954284023
imagined_sentence,Unified,26,0.5023231801755291,0.03795085985068535,0.4878678368611255,0.5165203923593186,150.0,0.5168403272185749,0.31213893691004224,0.757523509001276,0.061215481932938944
