n_total,n_a,n_b,power,mean_diff,sd_diff
10,6,4,0.0225,0.019989093959731568,0.020248267345415075
12,7,5,0.0145,0.02005781399808247,0.016494973216180195
14,9,5,0.022,0.020407531692766604,0.015638535739565775
16,10,6,0.0155,0.020257941834451915,0.01334809027636575
18,11,7,0.0,0.020109300095877296,0.010449218743581798
20,12,8,0.0,0.020265939597315413,0.008628415321997089
22,14,8,0.0,0.020366790508149532,0.007638190292176752
24,15,9,0.0,0.02020969425801637,0.005145126433435812
26,16,10,0.0,0.02013422818791945,6.525151325146458e-17
