n_sub,power,mean_diff
5,0.032,0.015869798657718103
7,0.063,0.016516299137104486
9,0.0535,0.015733407904548826
11,0.0565,0.01606680902989626
13,0.037,0.015737480640165186
15,0.0,0.016035794183445168
