n_sub,power,mean_of_means,sd_of_means
5,0.067,0.5103234899328859,0.01233634838278516
7,0.035,0.5096994247363376,0.009126627157042658
9,0.029,0.5099019388516033,0.007221263547446763
11,0.0155,0.509882855399634,0.005592043062808901
13,0.0145,0.5100818275684047,0.0038808345100864493
15,0.0,0.510003355704698,0.0021128018456559893
