block,n_oberlin,n_uchicago,mean_oberlin,mean_uchicago,diff,mwu_U,mwu_p,welch_t,welch_p,perm_p,cohens_d
full_sentence,16,10,0.526006711409396,0.5040268456375838,0.021979865771812213,108.0,0.14529184027536313,1.439560439560448,0.17330805544467073,0.12279,0.6492631350394482
imagined_sentence,16,10,0.5100671140939598,0.4899328859060403,0.02013422818791949,94.0,0.47510139234596893,1.2477755315080823,0.230942607355088,0.20612,0.5388159060803254
