subject,block_type,beta_tsr,beta_pos,beta_tsr_x_pos,beta_truetarget,beta_tsr_x_truth,beta_pos_x_truth,beta_tsr_x_pos_x_truth,intercept
2242025001,full_sentence,-0.0386535712900456,0.1393204201982195,0.1676187725930534,-0.11390601972593865,0.22570753816976497,-0.2064760461921641,-0.458278856680827,0.206845133596152
2242025001,imagined_sentence,-0.5503664040731918,0.5924460336091042,-0.5588691785346155,-0.03932764246463506,0.43091292963906536,-0.9820046671987691,0.6355609068324918,0.47616220681715093
2262025001,full_sentence,0.3241379704057834,-0.02414798025595888,0.23197962670497457,0.31241398428427614,-0.03055202739569282,0.39240554569495617,-0.09098364341145439,-0.07531777529317367
2262025001,imagined_sentence,0.0030809604553240677,0.11533412205614094,0.10273661979761145,0.025268819812929878,0.05316655871476143,-0.05596453346654094,0.08606266310379163,-0.11277176144378205
3032025001,full_sentence,0.42944960045927155,0.23339281893349634,0.6961757050643488,0.24322511729521795,-0.4750126101111753,-0.14540436574629076,-0.5358785803700257,-0.4996163422982117
3032025001,imagined_sentence,0.3691815492430619,-0.10461770660906661,0.050499958900982564,-0.22156595404841206,-0.46210842278357855,0.37690797701345147,-0.016429233110454508,0.381524622940037
3032025002,full_sentence,0.007009878030469292,0.36114707380328054,-0.04275746318118617,0.12393469436145385,-0.16901761081280353,-0.2558178614527292,0.3401286528253116,-0.1050522644201612
3032025002,imagined_sentence,0.16264866896640331,-0.38905972257583316,-0.010337001732416718,0.5710882159115884,0.3155864149452582,0.559688995995629,0.7296136203587777,-1.3945167859309204
3062025001,full_sentence,-0.2010914652485973,-0.08117194652159057,0.2785398014711057,0.42448656081036656,0.12493064068077726,-0.013857089590585944,-0.3279307829050115,-0.07782249048200988
3062025001,imagined_sentence,-0.3477630036951085,-0.03961484912518964,0.11007907157971555,0.08354553118415708,0.2307874460701127,0.11384224346802092,-0.3366430339278067,0.1410562516641827
3062025002,full_sentence,-0.3449610930518177,0.04227554884704256,0.0500077402282904,0.4003010828812603,0.45347434503863704,-0.27779027717322324,-0.4285284361571187,-1.4470761241462782
3062025002,imagined_sentence,0.023368303140747827,0.21706900175519678,0.09248697887332143,-0.12187557500206599,-0.02319551468437575,-0.2408015978025896,-0.11329120415893279,-0.565549594945624
3102025001,full_sentence,-0.21609015300633105,-0.34055863378865586,0.027570008534741675,0.423518454082292,0.08848382061940663,-0.5206253876437488,-0.29004462770260847,-0.14099160059477675
3102025001,imagined_sentence,0.2856860915608673,-0.658126573910733,0.17925448971087107,-0.09696040554274607,0.05351049860376971,0.10874073736126623,0.1056961949821583,-0.5563439991328564
3102025002,full_sentence,0.08296390765074148,-0.03549276970152726,0.1813801260105925,0.17996774678472693,0.14603369839457742,-0.0013453980557005217,0.28923314035830305,-0.08693678900454278
3102025002,imagined_sentence,-0.5535584192729582,-0.38309962467358677,-0.12099862645027798,0.3003634983566183,-0.1267225301460981,-0.4181409590073752,0.035171810440457016,-0.4501233083690397
3132025001,full_sentence,0.4085457325956028,0.11758825539765613,-0.22111199205460164,-0.2092571136606009,-0.9379983897076731,0.08934138790697621,0.2246448844575098,-0.0013806728422181655
3132025001,imagined_sentence,0.08178545180429897,-0.16553771086706234,-0.0921312527104679,0.08684945029172887,-0.08613379559731969,0.0718479291707436,-0.07503857819269086,-0.025359052357982147
3132026002,full_sentence,0.29424024987047587,0.014462654594354645,-0.27814530847631874,-0.05468747581710581,-0.31288845591235964,-0.3510901110700691,0.48728075884291533,-0.17224057173084634
3132026002,imagined_sentence,-0.09562182070820967,0.037955436980165534,-0.08765702168180033,-0.19302398228877987,0.08542754478228544,-0.5840343902139655,-0.1270432662562925,-0.5288069806086462
3172026001,full_sentence,0.1500640546862093,-0.11050912071562931,0.47610809877562404,0.1748690302723707,0.16916031146243693,0.3137108280023082,-0.24380255257859895,-0.6599518624150369
3172026001,imagined_sentence,0.3361473206426481,-0.2291599779039605,0.059842704889728524,0.1841250389796022,-0.3392755503813521,-0.26856491545458044,-0.36985429897436656,-0.6646681223717282
3192026001,full_sentence,-0.0570191414791919,0.2933571611008944,-0.0002086694116291097,0.30103100668891675,-0.13488627415157825,-0.07675157469370987,-0.34947360767723323,0.18364659126717903
3192026001,imagined_sentence,-0.23970922740397674,-0.08413631458755261,-0.082599039389642,-0.027261120034393734,0.1390806686836177,0.08602665265263824,0.09121718564714892,-0.020726048017110164
3202026001,full_sentence,-0.05407071999905403,0.2471404631153966,-0.22809238016882208,0.3267778117238962,0.3147568559030545,-0.043244351123058564,0.5414055267696051,-0.3291573070718149
3202026001,imagined_sentence,0.04136771910980085,0.12343444695121066,0.1867040430086103,0.055016123815501285,-0.13422769072445156,-0.08143852405662083,-0.3001982903421464,-0.07068137002024397
3202026002,full_sentence,-0.20555147989697356,0.553451151914991,-0.11324473057126486,0.4441867707362635,0.3146037288199745,-0.5630295759619043,0.1785346011831949,-0.36392983135091445
3202026002,imagined_sentence,-0.1792156164930512,0.16848665140652913,0.08629667190152582,-0.38435013325630807,0.21196012657069208,0.3904225956883045,-0.47473962668765046,-0.12620179868579956
3292026001,full_sentence,0.17701401772271044,-0.02665299020579758,0.622339392322361,-0.361756520128262,-0.21543608402466569,-0.16838555993311327,-0.6180301318836648,0.4190397450980281
3292026001,imagined_sentence,0.10143013953043202,0.30824684222253634,-0.13538483670954676,0.3281168235258335,-0.40106276608983205,0.06768917643813448,-0.23336535143550854,-0.23153371215719992
4032026001,full_sentence,-0.46575707114965303,-0.17570380072092462,-0.2545791791749563,-0.17440227265537023,0.5046946988441192,0.06613101190326479,0.44442866111606805,-0.06985951128890222
4032026001,imagined_sentence,0.04448300153842619,-0.08110679690187245,0.1864809785240943,-0.0308518145293588,-0.3060894293449673,-0.05784331700882359,-0.2068813261776383,-0.4695679506715244
4042026001,full_sentence,-0.0824246820485157,-0.07073559063011242,-0.1658396193874008,0.33095943647195775,-0.5966690703977457,-0.19599065646380467,0.5710190256809974,-0.17718220035840956
4042026001,imagined_sentence,-0.4888337641527372,-0.12100989694863237,0.10846796452816056,-0.24388794169373162,0.44659308497553807,0.29797072650720907,0.35883446298325467,-0.03917859443508438
4042026002,full_sentence,0.22165603076543353,-0.20495448596046062,0.005076984233144921,0.39246387187257165,0.10947808309808503,0.49506495987443555,0.36330065883308255,-0.3695654493602224
4042026002,imagined_sentence,0.023655547522419263,-0.2955011098718688,-0.35476505158312716,0.15337520051715237,-0.18699412645968147,0.1352097758835798,0.02225099722064054,-0.17590645033324728
4042026003,full_sentence,0.051075201882862645,0.04119650646061491,0.3304729021935534,-0.15710488130668926,-0.20221923781034465,0.12199889873546294,-0.8069479588996855,0.3271488815053501
4042026003,imagined_sentence,-0.2921376860357072,-0.13708712286630734,-0.09111147513272647,-0.5103515928651775,0.1085936098472868,0.13500004108825475,-0.41024539391019926,0.3741058813590963
4062026001,full_sentence,-0.1091173698860956,-0.058135443551153895,0.31241547902818484,-0.08116465593733088,0.42902409488540527,0.09843530305376155,-0.28479297831775335,-0.14796361873610403
4062026001,imagined_sentence,0.20544021755892122,-0.10386997132137446,0.3485117850354353,0.4984203261436674,0.8836807934822243,0.15317755219304122,-0.14205659722854744,-0.09914392225022502
4142026001,full_sentence,-0.008441465234911912,-0.30158932127411153,-0.021303096563526608,0.13403470410858082,-0.29961208168704123,-0.08604846727491869,-0.22521493042599153,-0.5195029611325807
