block_type,metric,contrast,n,median,mean,W,p
full_sentence,response_rate,fatigue_minus_refresh,26,-0.05131578947368423,-0.037651821862348195,144.0,0.4235963177660037
full_sentence,response_rate,early_cycle_drift,26,-0.06666666666666668,-0.06410256410256411,94.0,0.06516491619814926
full_sentence,response_rate,late_cycle_drift,26,0.019298245614035092,-0.00944669365721999,171.0,0.9089925842002944
full_sentence,response_rate,late_minus_first_in_late_third,26,-0.02631578947368421,0.02645074224021591,170.0,0.8888880131646671
full_sentence,accuracy,fatigue_minus_refresh,26,-0.052631578947368474,-0.014878542510121476,164.0,0.7701649041791836
full_sentence,accuracy,early_cycle_drift,26,0.04999999999999993,0.003205128205128183,161.0,0.9677956299727826
full_sentence,accuracy,late_cycle_drift,26,-0.007017543859649145,-0.030904183535762485,148.0,0.48477605922194134
full_sentence,accuracy,late_minus_first_in_late_third,26,-0.028070175438596467,-0.01808367071524966,152.5,0.5588950851716024
full_sentence,hit_rate,fatigue_minus_refresh,26,-0.1166666666666667,-0.07882181920643459,122.0,0.17419521338131372
full_sentence,hit_rate,early_cycle_drift,26,-0.0753968253968254,-0.0899824534439919,105.0,0.12176018729259251
full_sentence,hit_rate,late_cycle_drift,26,-0.013888888888888895,-0.042799294722371636,129.0,0.5485062355001472
full_sentence,hit_rate,late_minus_first_in_late_third,26,0.016666666666666663,0.011160634237557329,147.0,0.9316831136871248
full_sentence,fa_rate,fatigue_minus_refresh,26,0.03418803418803423,-0.017529265606188674,158.0,0.9036267967285596
full_sentence,fa_rate,early_cycle_drift,26,-0.11616161616161616,-0.06636504521119907,125.5,0.3194441527529397
full_sentence,fa_rate,late_cycle_drift,26,-0.11050061050061047,0.026552507321738097,166.0,0.8093299639790972
full_sentence,fa_rate,late_minus_first_in_late_third,26,0.09389499389499392,0.048835779605010364,147.0,0.46912668553408887
imagined_sentence,response_rate,fatigue_minus_refresh,26,-0.047368421052631615,-0.03896761133603242,130.0,0.24780341529213767
imagined_sentence,response_rate,early_cycle_drift,26,-0.04166666666666666,-0.021153846153846176,135.0,0.4592550723618637
imagined_sentence,response_rate,late_cycle_drift,26,0.026315789473684237,-0.028070175438596502,163.0,0.7508639985954604
imagined_sentence,response_rate,late_minus_first_in_late_third,26,-0.06666666666666665,-0.01781376518218624,123.5,0.1864965612129087
imagined_sentence,accuracy,fatigue_minus_refresh,26,0.027631578947368396,0.01619433198380565,137.0,0.32802576050079
imagined_sentence,accuracy,early_cycle_drift,26,-0.01666666666666672,-0.010256410256410269,150.5,0.7464846093067716
imagined_sentence,accuracy,late_cycle_drift,26,-0.021052631578947323,0.03414304993252361,168.0,0.84888709137557
imagined_sentence,accuracy,late_minus_first_in_late_third,26,0.019298245614035064,0.026450742240215916,149.5,0.5088600192964865
imagined_sentence,hit_rate,fatigue_minus_refresh,26,-0.054545454545454536,-0.011507562949870636,150.5,0.5254280008505965
imagined_sentence,hit_rate,early_cycle_drift,26,-0.016666666666666663,0.0014064461179845807,152.0,0.7775428401502809
imagined_sentence,hit_rate,late_cycle_drift,26,0.0,0.005531434377588211,125.0,0.692518104540744
imagined_sentence,hit_rate,late_minus_first_in_late_third,26,-0.02777777777777779,-0.012914009067855234,139.0,0.5271453565001796
imagined_sentence,fa_rate,fatigue_minus_refresh,26,-0.02692307692307694,-0.04350254446408293,116.0,0.21083064726017464
imagined_sentence,fa_rate,early_cycle_drift,26,0.0,-0.03254053638669023,122.0,0.42361618122121303
imagined_sentence,fa_rate,late_cycle_drift,26,-0.08690476190476187,-0.03812096023634485,147.5,0.4769776353512051
imagined_sentence,fa_rate,late_minus_first_in_late_third,26,-0.012820512820512803,-0.010962008077392692,151.0,0.7569735429288602
