block_type,metric,n_subj,chi2,p,mean_early,mean_mid,mean_late
full_sentence,response_rate,26,1.3009708737864165,0.5217924179808577,0.4915384615384616,0.47307692307692306,0.4631083202511774
full_sentence,hit_rate,26,0.4077669902912974,0.8155573820465825,0.5195625166947678,0.47982366569005946,0.48433599431062235
full_sentence,fa_rate,26,1.4901960784313637,0.4746877596429132,0.4644278488546739,0.46682213070591,0.4437197559455476
full_sentence,accuracy,26,0.9514563106796557,0.6214323923652871,0.5276923076923078,0.5076923076923077,0.5172684458398744
imagined_sentence,response_rate,26,0.23529411764705438,0.8890097654027778,0.4715384615384615,0.4592307692307693,0.4599686028257457
imagined_sentence,hit_rate,26,0.3762376237624033,0.828516263808763,0.47319195481801835,0.4732019740998792,0.4528955675619843
imagined_sentence,fa_rate,26,1.1844660194175154,0.5530908475277829,0.4689735745390559,0.44634398710802814,0.4680674645540745
imagined_sentence,accuracy,26,0.4077669902912974,0.8155573820465825,0.5015384615384615,0.5138461538461538,0.49136577708006285
