block_type,metric,H,p
full_sentence,d_prime,22.23076923076924,1.4881605834683458e-05
full_sentence,abs_d_prime,14.478632478632491,0.0007178023974090033
full_sentence,cos_ci_true,17.873694207027555,0.00013145485102495586
full_sentence,cos_w_true,7.875830959164304,0.019488797228925603
full_sentence,beta_truetarget,22.23076923076924,1.4881605834683458e-05
full_sentence,hit_rate,4.2382201822618875,0.12013849326512985
full_sentence,fa_rate,10.598723402230604,0.004994781052801485
full_sentence,accuracy,21.875119855789528,1.7777802527517723e-05
full_sentence,criterion,3.96699905033239,0.13758690499952422
imagined_sentence,d_prime,22.238372093023266,1.4825141825061618e-05
imagined_sentence,abs_d_prime,16.006421948624414,0.0003343871935416739
imagined_sentence,cos_ci_true,20.24620132953467,4.014146713693751e-05
imagined_sentence,cos_w_true,8.806505223171897,0.012237471358648881
imagined_sentence,beta_truetarget,21.395299145299163,2.2597990475569598e-05
imagined_sentence,hit_rate,5.035139413357767,0.0806553849973587
imagined_sentence,fa_rate,3.384583142813598,0.1840971684415896
imagined_sentence,accuracy,21.829907758257757,1.8184265348049235e-05
imagined_sentence,criterion,1.3119395044839834,0.518938576650035
