block_type,metric,H,p
full_sentence,d_prime,10.610873694207044,0.00496452901454456
full_sentence,abs_d_prime,22.23076923076924,1.4881605834683458e-05
full_sentence,cos_ci_true,7.277540360873701,0.026284649472776082
full_sentence,cos_w_true,2.941358024691368,0.229769415936165
full_sentence,beta_truetarget,10.234805318138669,0.005991564838999981
full_sentence,hit_rate,7.843361549607278,0.019807774342137787
full_sentence,fa_rate,1.578320676791911,0.454226031363401
full_sentence,accuracy,10.181569535534848,0.006153189167394799
full_sentence,criterion,5.003798670465358,0.08192923966000672
imagined_sentence,d_prime,0.20994832041343317,0.9003477870863908
imagined_sentence,abs_d_prime,22.238372093023266,1.4825141825061618e-05
imagined_sentence,cos_ci_true,0.24620132953467078,0.8841746528451123
imagined_sentence,cos_w_true,2.208926875593562,0.3313886451688557
imagined_sentence,beta_truetarget,0.38295346628680704,0.8257388372300911
imagined_sentence,hit_rate,0.9709825685623898,0.6153947886997859
imagined_sentence,fa_rate,1.1855686061576034,0.5527860162439622
imagined_sentence,accuracy,0.22061708194588625,0.8955577763970425
imagined_sentence,criterion,0.6820945432436556,0.7110252960930595
