subject,block_type,cos_ci_true,cos_ci_wall,ci_norm,null_mean,null_std,p_perm_two,p_perm_pos,n_yes,n_no
2242025001,full_sentence,0.008220071340582676,-0.025909265432602253,20928.19093131561,0.0009003839801520858,0.08921996561825485,0.929070929070929,0.45454545454545453,79,70
2262025001,full_sentence,0.04074331534900814,0.02841898850297992,20690.811143079885,0.0019915855147349987,0.0903360662885343,0.6563436563436563,0.33166833166833165,78,71
3032025001,full_sentence,0.032986323960663054,0.018865970308458723,21149.823627482,0.0003248073861189444,0.08893991958437379,0.7142857142857143,0.34965034965034963,62,87
3032025002,full_sentence,0.04188205575294972,0.007806684780667999,20895.10125245134,0.0055184799252397205,0.09061668014912622,0.6443556443556444,0.34565434565434566,73,76
3062025001,full_sentence,0.09763307852682916,0.04786193307967433,20801.35797775285,-0.0011546460935417504,0.08829893287959464,0.27372627372627373,0.13186813186813187,80,69
3062025002,full_sentence,0.13214372017229123,0.052983707775887075,24376.87945850446,-0.0006552936900210125,0.09262375022135909,0.14685314685314685,0.07692307692307693,33,116
3102025001,full_sentence,0.09092757409050438,0.046228138365653725,20496.732039544815,0.006484506211763367,0.09199613196144722,0.3196803196803197,0.17882117882117882,76,73
3102025002,full_sentence,0.057408406563297744,0.029975682435812133,21014.347677772974,-0.0026392683765877538,0.09022020896219694,0.5364635364635365,0.2547452547452547,76,73
3132025001,full_sentence,-0.06594681552682052,-0.01967153830785571,20357.367961273136,-0.0014418393098432985,0.08941533277569194,0.46253746253746253,0.7682317682317682,70,79
3132026002,full_sentence,0.011177734972768222,-0.016132994563441524,20972.923056615826,0.004751524365218372,0.09345321341587677,0.9050949050949051,0.4865134865134865,67,82
3172026001,full_sentence,0.02856424573301188,0.01852859470890529,21543.8798343827,-0.0024897869163178587,0.09301732959155624,0.7452547452547452,0.37162837162837165,55,94
3192026001,full_sentence,0.04037531374608096,0.039680211186850146,21340.203164505183,-0.001015957389503123,0.09154845664357487,0.6633366633366633,0.32867132867132864,87,62
3202026001,full_sentence,0.09746578717963138,0.040441103994535196,20721.464332302392,-0.0061259794491314405,0.09067128085466554,0.27972027972027974,0.11888111888111888,68,81
3202026002,full_sentence,0.16141997005782693,0.060054376483274156,21018.185344454672,0.0021127829143199497,0.09215185552715052,0.07792207792207792,0.04195804195804196,69,80
3292026001,full_sentence,-0.14936887873486707,-0.0495788917839986,20803.06598731265,0.0012662329660981472,0.09359613067623365,0.11488511488511488,0.9500499500499501,84,65
4032026001,full_sentence,-0.07100786351779621,-0.027685692011635916,20382.569658713288,0.0008878858671369294,0.09302612086523412,0.44655344655344653,0.7722277722277723,70,79
4042026001,full_sentence,0.07932236862710806,0.037811948322603164,20954.47546156903,0.0024487490053905995,0.08785823732681038,0.38961038961038963,0.2017982017982018,72,77
4042026002,full_sentence,0.09732051673172026,0.04966694041539107,20575.71694923072,-0.002332228230998232,0.09288035588855723,0.2967032967032967,0.14585414585414586,68,81
4042026003,full_sentence,-0.08915502071025738,-0.03366386903187255,20526.25793917756,5.033759950753946e-06,0.09264576219735557,0.33966033966033965,0.8291708291708292,82,67
4062026001,full_sentence,-0.016517176152894567,-0.006507002628104901,21050.79358926234,0.000864600488490736,0.09320709849543493,0.8581418581418582,0.5784215784215784,68,81
4142026001,full_sentence,0.026516024614875414,0.022566746155105226,21285.723312654085,0.002311308323210035,0.08909821273352263,0.7452547452547452,0.38961038961038963,58,91
4142026002,full_sentence,0.10940583584420106,0.030743509373029467,20706.2102612171,-0.00012749660000676676,0.09140552396552215,0.24075924075924077,0.11288711288711288,74,75
4182026001,full_sentence,0.04297534290060903,0.022734486296820417,20953.257717114793,0.0004159560651279345,0.09047349082979347,0.6333666333666333,0.3276723276723277,60,89
4182026002,full_sentence,0.012946787274843588,0.010154396591686304,20560.675943305345,-0.004502941036964982,0.09163827210182621,0.8871128871128872,0.43356643356643354,67,82
4192026001,full_sentence,0.1614245667862049,0.06350990030813108,20924.43758438363,0.0018832034511945905,0.09361115405210009,0.07892107892107893,0.03996003996003996,84,65
4192026002,full_sentence,-0.08360214503251476,-0.02912171626243956,20550.534321737174,-0.005374332044469116,0.08964057942020219,0.3516483516483517,0.8051948051948052,84,65
2242025001,imagined_sentence,0.06925073367854605,0.023978285872463565,20842.08450496405,-0.002498388535965795,0.09232644002086082,0.4645354645354645,0.2217782217782218,88,61
2262025001,imagined_sentence,0.013347061474610232,0.0019773076904714194,21040.107997583094,-0.0042323482817750845,0.09103820138559514,0.8811188811188811,0.4275724275724276,71,78
3032025001,imagined_sentence,-0.05078782896892708,-0.02986664915453929,20814.424250471293,0.0008542957432298707,0.09599484919349249,0.6163836163836164,0.6813186813186813,84,65
3032025002,imagined_sentence,0.19932496340601702,0.0872592856024389,23297.47725398881,-0.0037315384129779166,0.0939999202880181,0.030969030969030968,0.013986013986013986,38,111
3062025001,imagined_sentence,0.019683566631051926,0.004000068196805554,20278.710162606167,-0.0018612306323319103,0.09129455678483088,0.8201798201798202,0.4035964035964036,80,69
3062025002,imagined_sentence,-0.021956397373291938,-0.014125613578371747,21948.12738751506,0.002218325752899616,0.09548356183825267,0.8301698301698301,0.6103896103896104,52,97
3102025001,imagined_sentence,-0.027446366726296297,-0.01869052861211239,21316.5262558627,-0.0016696359386987572,0.09211502787690545,0.7302697302697303,0.6283716283716284,55,94
3102025002,imagined_sentence,0.1590601012140008,0.05849501928199171,20842.021184121848,-0.0010382893093435048,0.08943587829014331,0.08191808191808192,0.04395604395604396,65,84
3132025001,imagined_sentence,0.048143718254652634,0.006529412556462801,20433.742926660674,0.0024788775653988527,0.095955983421938,0.5974025974025974,0.3086913086913087,75,74
3132026002,imagined_sentence,-0.020775987613833764,-0.013784371171459699,21707.198951395683,-0.003086283568583159,0.09321932142943101,0.8151848151848152,0.5784215784215784,52,97
3172026001,imagined_sentence,0.07212543295727111,0.017815760362295027,21709.62470142396,-0.0014538448226509523,0.09274456049841363,0.4325674325674326,0.21178821178821178,54,95
3192026001,imagined_sentence,-0.022207715952939737,0.0006199541489316793,20642.538111523343,-0.0033551887081395555,0.09268866883490726,0.8061938061938062,0.5834165834165834,73,76
3202026001,imagined_sentence,0.02085623791417526,0.0016894219263603736,20722.153163197116,-0.001517515998653932,0.09473420079325251,0.8211788211788211,0.4025974025974026,74,75
3202026002,imagined_sentence,-0.09814271866345255,-0.03386243092832502,20563.48419144299,-0.002582374577085685,0.09094323997782686,0.2977022977022977,0.8481518481518482,65,84
3292026001,imagined_sentence,0.061787942699013505,0.01835459717180273,20699.908453321088,-0.0026814768155574596,0.09008290674729089,0.4905094905094905,0.23876123876123875,71,78
4032026001,imagined_sentence,-0.023084877503937385,-0.0063448342492200965,21324.67439156842,-0.004533950195640115,0.09138533548027034,0.7932067932067932,0.5904095904095904,57,92
4042026001,imagined_sentence,-0.08038890464644813,-0.03342440102097118,20248.663947497396,-0.003274154202826189,0.09336667848680276,0.3946053946053946,0.7932067932067932,70,79
4042026002,imagined_sentence,0.03544257721283183,0.009518836752113883,20995.520224458465,-9.212119824360698e-05,0.09167281035944436,0.7152847152847153,0.34565434565434566,70,79
4042026003,imagined_sentence,-0.16634580653822378,-0.07316610656726152,20356.639697366638,-0.0015071595413440914,0.0933127711217669,0.08391608391608392,0.957042957042957,79,70
4062026001,imagined_sentence,0.06366564532005743,0.02198257798068019,20918.57187705496,-0.0014973669232658748,0.0884962319238876,0.45454545454545453,0.22377622377622378,76,73
4142026001,imagined_sentence,0.02591980984978904,0.01784576769763117,21648.57958965064,-0.003146554278654456,0.09269799704928924,0.7792207792207793,0.3696303696303696,47,102
4142026002,imagined_sentence,0.16609410949072373,0.04911349472761019,21048.953956724028,-0.005551314909156192,0.09461651190945494,0.08491508491508491,0.03796203796203796,68,81
4182026001,imagined_sentence,-0.1498614499710243,-0.062233690309906685,21505.35059283845,0.00038404940560963065,0.0927868283512695,0.11188811188811189,0.942057942057942,76,73
4182026002,imagined_sentence,-0.09872372362522967,-0.046524081313063674,20419.914881479563,-0.004762971492758426,0.09475220806290437,0.3106893106893107,0.8341658341658341,77,72
4192026001,imagined_sentence,0.033670399523440336,0.015935669357589548,21151.102108027993,-0.0015993258410255326,0.09357250934390796,0.7422577422577422,0.36163836163836166,91,58
4192026002,imagined_sentence,0.12682317892639824,0.04092519292963686,21562.467856674975,-0.000980811010901913,0.09546372616903395,0.18581418581418582,0.0959040959040959,88,61
