subject,site,block_type,d_prime,hit_rate,fa_rate,accuracy,criterion,cos_ci_true,cos_w_true,beta_truetarget,BAIS_V,BAIS_C,VHQ,TAS,LSHS,DES,FSS,SSS_mean
2242025001,Oberlin,full_sentence,-0.1175958409701302,0.5066666666666667,0.5540540540540541,0.4765100671140939,-0.0752896435069229,0.0082200713405826,-0.2592120315446147,-0.1703407321658913,51.0,65.0,6.0,48.0,42.0,590.0,22.0,3.0
2242025001,Oberlin,imagined_sentence,0.0882344169413606,0.6081081081081081,0.5733333333333334,0.5167785234899329,-0.2265244313051543,0.069250733678546,-0.226040140704614,0.0669208656524866,51.0,65.0,6.0,48.0,42.0,590.0,22.0,3.0
2262025001,Oberlin,full_sentence,0.150579287013846,0.5540540540540541,0.4933333333333333,0.5302013422818792,-0.058797920485065,0.0407433153490081,-0.0659889837722205,0.2969468892999163,36.0,38.0,1.0,31.0,4.0,100.0,26.0,3.25
2262025001,Oberlin,imagined_sentence,0.017400150001846,0.48,0.4729729729729729,0.5033557046979866,0.0581932001927863,0.0133470614746102,0.3223852382948209,0.016038874943241,36.0,38.0,1.0,31.0,4.0,100.0,26.0,3.25
3032025001,Oberlin,full_sentence,0.1216737207456692,0.44,0.3918918918918919,0.5234899328859061,0.2098047794029999,0.032986323960663,0.3954580731228889,0.1446693873638673,14.0,14.0,5.0,29.0,24.0,410.0,23.0,3.75
3032025001,Oberlin,imagined_sentence,-0.1535794851078928,0.5333333333333333,0.5945945945945946,0.4697986577181208,-0.1593382754580593,-0.050787828968927,-0.1256419112974174,-0.2466412145879716,14.0,14.0,5.0,29.0,24.0,410.0,23.0,3.75
3032025002,Oberlin,full_sentence,0.0494931251918633,0.5,0.48,0.5100671140939598,0.0247465625959316,0.0418820557529497,0.0574377847110349,0.1372092167833799,68.0,73.0,6.0,46.0,30.0,620.0,18.0,4.5
3032025002,Oberlin,imagined_sentence,0.49066131289748,0.3333333333333333,0.1756756756756756,0.5771812080536913,0.670034431394074,0.199324963406017,0.3341794117757779,0.7501728061442493,68.0,73.0,6.0,46.0,30.0,620.0,18.0,4.5
3062025001,Oberlin,full_sentence,0.2494797373275137,0.5866666666666667,0.4864864864864865,0.5503355704697986,-0.0913119338335016,0.0976330785268291,0.2340677968735572,0.410071561691906,47.0,60.0,4.0,31.0,8.0,440.0,31.0,4.25
3062025001,Oberlin,imagined_sentence,0.0488011345965778,0.5466666666666666,0.527027027027027,0.5100671140939598,-0.0912938424919982,0.0196835666310519,-0.0047161122224132,0.0484785956454395,47.0,60.0,4.0,31.0,8.0,440.0,31.0,4.25
3062025002,Oberlin,full_sentence,0.3216661544958306,0.2702702702702703,0.1733333333333333,0.5503355704697986,0.7635956226109724,0.1321437201722912,0.1817445685643747,0.5115044685356083,60.0,65.0,9.0,73.0,49.0,1380.0,26.0,2.25
3062025002,Oberlin,imagined_sentence,-0.0840089478575383,0.3333333333333333,0.3648648648648648,0.4832214765100671,0.3826993010165648,-0.0219563973732919,0.0499841793751096,-0.105657127798926,60.0,65.0,9.0,73.0,49.0,1380.0,26.0,2.25
3102025001,Oberlin,full_sentence,0.249401639541635,0.56,0.4594594594594595,0.5503355704697986,-0.0242670992593477,0.0909275740905043,-0.0723603718116129,0.4324593330079902,98.0,98.0,5.0,58.0,43.0,1370.0,31.0,2.75
3102025001,Oberlin,imagined_sentence,-0.0922131751995444,0.3513513513513513,0.3866666666666666,0.4832214765100671,0.3302300209089034,-0.0274463667262962,0.0934888740949763,-0.0773265940722182,98.0,98.0,5.0,58.0,43.0,1370.0,31.0,2.75
3102025002,Oberlin,full_sentence,0.1825876849839965,0.5466666666666666,0.4729729729729729,0.5369127516778524,-0.0244005672982888,0.0574084065632977,0.0439282820269008,0.2347999998051591,77.0,93.0,7.0,57.0,32.0,300.0,30.0,3.0
3102025002,Oberlin,imagined_sentence,0.3186393639643751,0.5,0.3733333333333333,0.5637583892617449,0.1593196819821875,0.1590601012140008,-0.1146797581240101,0.3423614654622027,77.0,93.0,7.0,57.0,32.0,300.0,30.0,3.0
3132025001,Oberlin,full_sentence,-0.11759584097013,0.4459459459459459,0.4933333333333333,0.4765100671140939,0.075289643506923,-0.0659468155268205,-0.292314920218806,-0.1905384586478366,40.0,40.0,6.0,52.0,42.0,1520.0,25.0,3.5
3132025001,Oberlin,imagined_sentence,0.0499196578521132,0.5135135135135135,0.4933333333333333,0.5100671140939598,-0.0084681059041986,0.0481437182546526,-0.0695442605827182,0.0877435776201481,40.0,40.0,6.0,52.0,42.0,1520.0,25.0,3.5
3132026002,Oberlin,full_sentence,-0.0485341985186955,0.44,0.4594594594594595,0.4899328859060403,0.1247008197708175,0.0111777349727682,0.1538857183017434,0.0112903477217609,65.0,59.0,6.0,71.0,46.0,1530.0,31.0,4.0
3132026002,Oberlin,imagined_sentence,-0.0840089478575383,0.3333333333333333,0.3648648648648648,0.4832214765100671,0.3826993010165648,-0.0207759876138337,-0.0629899501519664,-0.1561958486295731,65.0,59.0,6.0,71.0,46.0,1530.0,31.0,4.0
