subject_number,block_name,trial_number,play_count,timestamp
03192026001,full_sentence,15,3,2026-03-19 15:45:58
03192026001,full_sentence,30,3,2026-03-19 15:47:24
03192026001,full_sentence,45,3,2026-03-19 15:48:48
03192026001,full_sentence,60,3,2026-03-19 15:50:09
03192026001,full_sentence,75,3,2026-03-19 15:51:35
03192026001,full_sentence,90,3,2026-03-19 15:53:01
03192026001,full_sentence,105,3,2026-03-19 15:54:28
03192026001,full_sentence,120,3,2026-03-19 15:55:49
03192026001,full_sentence,135,3,2026-03-19 15:57:25
