r_total,template_contrib,residual_contrib
-0.03452769582578159,1.4363778078162986e-07,-0.03452783946356238
-0.02541519688617465,3.7539274880001174e-08,-0.025415234425449542
-0.011058776465433365,6.301977292685268e-08,-0.011058839485206319
-0.006736284356288932,1.1314800123170879e-07,-0.006736397504290165
0.023516013756722815,2.209190521857258e-07,0.02351579283767063
-0.015436483877072709,-4.091775022450623e-07,-0.015436074699570475
0.014139814689095049,2.316844748318432e-07,0.014139583004620199
-0.005142562688730036,4.570178161670501e-07,-0.005143019706546214
0.01564123995027353,-5.285021264414997e-07,0.015641768452399982
-0.004337050838659363,-8.997708233118721e-08,-0.004336960861577041
0.006438121602111387,2.9212884479013615e-07,0.00643782947326658
0.018667854999485353,2.2322896110138813e-07,0.018667631770524266
0.014988174954950492,-3.0161099062906125e-07,0.01498847656594111
0.027575305804628976,-3.9092491092414427e-07,0.027575696729539936
-0.02205440113502938,1.5438560645608578e-07,-0.022054555520635843
-0.018724313037331977,-3.392687956731999e-07,-0.018723973768536312
0.011057923792468682,4.125430431226721e-08,0.011057882538164388
0.011642599851194724,7.070898531552137e-08,0.011642529142209406
-0.026886718473514187,-1.1561999186640513e-07,-0.026886602853522294
-0.021398041519256922,-2.4900466973581103e-08,-0.021398016618789935
-0.004110352821910618,-9.810202825782415e-08,-0.00411025471988236
-0.0201731313788369,-3.0914894024261825e-07,-0.02017282222989663
0.022306417881622232,1.6065257150391328e-07,0.02230625722905075
0.03703641848515727,1.3328402495801978e-07,0.037036285201132314
-0.0037855781971060823,8.743697398378376e-08,-0.003785665634080071
-0.011907732484587144,-1.5477736292561113e-07,-0.011907577707224221
0.0030553958182649816,4.038818015458553e-07,0.0030549919364634298
0.01303097490976933,-2.9911857357689324e-07,0.013031274028342903
-0.0042515853520764596,1.523674407848271e-08,-0.004251600588820544
0.03292297853250859,-2.0258603146328792e-08,0.03292299879111176
-0.01672461446730514,-1.00393441033917e-07,-0.016724514073864147
0.0031647728819835614,1.1447159080387816e-07,0.003164658410392775
-0.005428674426208298,-6.315919680689052e-08,-0.005428611267011496
0.03176902794439358,-3.7947553196574784e-07,0.031769407419925524
0.03129305822678647,-3.0332805044649274e-07,0.0312933615548369
-0.01616074000063728,1.9661637433982583e-08,-0.016160759662274742
-0.007863233349121375,-3.7805029990424595e-07,-0.007862855298821471
-0.03506252796960691,2.476681250540742e-07,-0.035062775637732
-0.023643879505280973,1.3972463840112452e-07,-0.023644019229919357
0.022215814286741353,-1.839204483010976e-07,0.022215998207189686
-0.01700788072870509,-3.3536246050607374e-07,-0.017007545366244593
0.027386757448373336,1.3614089358329522e-08,0.02738674383428396
0.012735055196347192,-1.1702840492390891e-07,0.012735172224752121
-0.018658241929587715,2.5922788936286107e-07,-0.018658501157477105
0.003295523041792769,8.392930154074504e-08,0.0032954391124912353
0.0015496618296785619,-9.18602892631368e-08,0.0015497536899677948
-0.02209669477151378,-2.260676809022111e-07,-0.022096468703832892
0.007557564547099146,-1.476682611538422e-07,0.007557712215360303
0.003366964630560414,-1.201705999831149e-07,0.003367084801160409
0.009448061506490734,1.2195634259035947e-07,0.009447939550148148
0.015861683687104,2.4724826597286493e-07,0.01586143643883804
-0.02921221856602736,-1.2417706286591556e-07,-0.0292120943889645
-0.003166624804428591,4.0679277314715234e-07,-0.0031670315972017467
0.01458705069202281,-2.058468700511823e-08,0.014587071276709817
0.0029699754291476073,3.7775076002469187e-07,0.002969597678387582
-0.028306767137699362,-1.335165228111589e-07,-0.028306633621176542
0.01573558725335458,-1.7985134129504593e-07,0.015735767104695906
0.011450377054863984,-1.6203731281279096e-07,0.011450539092176809
0.008526559611369987,4.050329039305665e-07,0.008526154578466056
0.017999085132855468,1.5694789411540453e-07,0.01799892818496135
-0.018105205274897923,-3.8593474346033574e-07,-0.018104819340154465
0.011134537894902992,-2.901930814832191e-08,0.011134566914211143
0.022995892447239465,3.923841677608159e-07,0.022995500063071765
-0.012568144028527089,-1.32529798598741e-07,-0.012568011498728465
-0.0033811500662650584,-7.128418761561604e-08,-0.003381078782077435
0.0023321649309409978,2.425615782786458e-08,0.0023321406747831715
0.017058062246485546,-2.07529262287349e-07,0.017058269775747845
0.015996392792511426,-2.3066961018266985e-08,0.015996415859472448
0.016038285072459607,-2.4754282044387546e-07,0.016038532615280043
0.02827347631736521,1.3380038128384302e-07,0.028273342516983938
-0.02919449659662046,1.1557328813107115e-07,-0.02919461216990863
-0.034295102396907765,1.0080511118736866e-07,-0.034295203202018947
-0.012346952510446471,3.26421868733767e-07,-0.012347278932315263
0.003617194530244307,-2.8179921243828486e-07,0.003617476329456746
0.011244144576867234,4.558395614714734e-08,0.011244098992911082
-0.005612899432211471,-1.4578830678416725e-07,-0.005612753643904686
-0.0011214201264871612,-5.645641606093259e-07,-0.00112085556232655
-0.00048659253880293385,2.1865131339244809e-07,-0.00048681119011631725
0.01777674368670618,3.2071991780155685e-07,0.01777642296678839
0.0025049271204005867,-3.761501358772229e-07,0.0025053032705364625
-0.017583254115566552,1.3478393601233916e-07,-0.01758338889950258
-0.02274834954281819,5.588899462231545e-07,-0.022748908432764427
-0.025886000614657633,-9.66334030372139e-08,-0.025885903981254604
-0.00861206692962536,-2.194900468625403e-07,-0.008611847439578477
0.022539902527999454,3.260736754056787e-07,0.022539576454324067
-0.023143874026627143,-1.620977548679923e-07,-0.023143711928872313
-0.024740540955645745,4.785887979370605e-07,-0.0247410195444437
