condition,before_mean,after_mean,delta,welch_t_ba,welch_p_ba,after_t_vs_zero,after_p_vs_zero,after_wilcoxon_stat,after_wilcoxon_p
target-target,0.00561322315850301,3.4851485288610053e-05,-0.0055783716732143995,22.661853573983972,1.9713807445572957e-112,0.19966497351205761,0.8417462424127908,31030402.0,0.5723561980336677
distractor-distractor,-0.00016651764857816592,-0.00016651764851150552,6.666040874674095e-14,-2.678584539070858e-10,0.9999999997862823,-0.946264729104662,0.344034040158131,30836573.0,0.2572454383086965
target-distractor,8.108260434375059e-05,8.135636241241079e-05,2.737580686602018e-07,-0.0015794194551916035,0.9987398131270462,0.6628689840467312,0.5074212581832362,125968506.0,0.5382716332132202
