condition,mean_r,std_r,se_r,n_pairs
target-target,3.4851485288610053e-05,0.018451988380978696,0.00017454982050973202,11175
distractor-distractor,-0.00016651764851150552,0.018602502975021678,0.00017597363971186096,11175
target-distractor,8.135636241241079e-05,0.018410054860858137,0.00012273369907238758,22500
