stimulus_number,projection_coeff,resid_mean_r
1038202,0.0734335693428496,0.0017638255343643463
1055025,0.07112074248967369,0.0013536354183271207
1084017,0.07258387511146532,-0.0013254937292112206
1152401,0.07828394300011285,0.0022069380832202886
1154913,0.07105758108880321,0.0012205289806747211
1204336,0.07868435377741946,-0.0007558232827092573
1303598,0.08614512309067959,0.0012902292109130073
1325540,0.07485231562479226,0.000555808406454587
135747,0.07346807012287965,0.000705483952671063
1361028,0.07140910223328122,-0.0020591685940696876
1361457,0.0713846533657771,0.0002506899943645461
137369,0.07264398228502603,-0.0011336169265558078
1377011,0.08488146791708845,-0.0006139018504457934
1430067,0.07348156873249474,0.0011078180014885836
1474554,0.07200614163294129,-0.001633181408662055
1500770,0.07775095347629762,-0.0009890585989407814
1512885,0.07490598720797137,0.00011462552740739795
1556070,0.09426853033591671,-0.0008099048305196513
1558811,0.07089098997952728,0.0023755905376812215
1585751,0.07142459585206769,-0.0022872270657424507
1604178,0.07039419393513409,0.0012276121624364012
1619569,0.07521114362054354,0.0020606615654434443
177749,0.07276090425931935,-0.0026863535206639306
1784932,0.07083595373416234,0.00043815665767629573
1841210,0.07116117844598027,-0.00015493166388253548
1881701,0.07962103523835917,-0.0020461169022733226
19389,0.079932712322789,-0.0019631230396117546
1950306,0.07057037233843393,0.002230073545722859
1976046,0.07300122543291522,-0.0013169383552924644
1989589,0.07053168331207847,0.0003968799031730842
2065486,0.07188286532051395,-0.0007338695728595898
2070670,0.09247042153335916,-0.001763349480168865
2209737,0.07021212268207021,-0.00015896548186888643
2216495,0.0762243604364603,-0.00024007916619513676
2241916,0.08550290800217138,-0.003205628668850753
2253127,0.07313545224142493,0.0002909937362244317
2265258,0.07089103154564516,0.000136906001054078
2276260,0.08098669219662559,-0.0017767510164672855
2354618,0.0769084852321964,-0.0014238521835005997
2363886,0.08347656150201607,-0.0006517978743783518
2433065,0.07594302678935996,-0.0009503673555218467
2455086,0.0702684111881315,0.0005291524422647124
2474088,0.07517171971977436,0.0014156890892476365
2487625,0.07434796739665876,-0.002221716937951126
2490211,0.07034931522725804,0.0014309151610685717
2501681,0.07198484167099692,0.0008769162199523667
2514923,0.08147791349433484,0.0007839125790083711
2530401,0.07103257095685363,-0.0005337899421101593
2534050,0.07435759217230424,-0.0007240720722374434
2649655,0.07523936369949946,-0.0012952727134750287
2654756,0.07415266582707655,-0.0017533904037735728
2669502,0.0709280846707986,0.0018416251007482118
2675662,0.07710770471413776,-0.001652729958261023
2690790,0.07221985865479687,0.0010965587860783837
270720,0.0732649043481492,-0.00020049454434840975
314781,0.0737621959048065,-0.000926125791729698
341881,0.0714913700215898,-0.0017258595975297203
389188,0.0750494223794615,-0.0004299081209920606
393679,0.07014489071681132,0.00196757706168102
422402,0.0726933390644302,0.0026288532262098655
436049,0.07274627433480883,-0.0004421791776652602
469558,0.07261514064211962,-0.0011052976302968057
514473,0.07588931487101147,0.00031252948498413583
578254,0.07428885756038635,-0.0007604568851281537
656999,0.07151895430014146,8.400284484310323e-05
681938,0.07026016888487419,-0.0019241357797525306
710781,0.07083070821162125,0.0012359883528693762
724605,0.07051840060225019,0.0006167467423882022
793673,0.07100037921168428,-0.0013382613218780627
80741,0.07481137409536301,0.0023362237669711738
854858,0.07516999228901358,0.0020090131050793263
914835,0.08316430716565833,-0.0007656496857601262
936885,0.0712019425737552,-0.001961473385096984
953491,0.07282597680547097,-0.0005297826777963834
996037,0.07275113896073408,0.0015503667606514477
1022427,0.07735665459680885,0.002073447465233325
1050074,0.07078480597770286,-0.0020421121673813037
1106952,0.07235283160238785,-0.00027210624018105846
1128380,0.07339743309293212,0.0006255450742207019
1152436,0.07330946648826357,0.000708867557245511
116637,0.08374133658112805,0.0008168565313048442
1182143,0.07503395777031291,-0.003415909221002535
1192087,0.07106567815700737,-0.00014210444280629705
1225298,0.07663497498038498,0.0004325175507397242
1300288,0.0710352523917422,0.0015676456707032992
1359799,0.07280019700909197,-0.002071106342755669
138781,0.07438940346118673,0.00039074510987773106
1480814,0.07095203395182942,0.0007267708731288324
150539,0.07594841955303859,0.0035569443356364976
1535124,0.08946089809490552,0.001167494926965658
1555690,0.0742811668927728,-0.00023518190303369805
1588337,0.07170226880646016,0.0011148689024523676
164296,0.07292136926210939,0.0018319521824283025
1693893,0.07147954356300142,0.00041661524600291444
1702273,0.07859744751186154,0.00042217993952178135
1736013,0.07369662336112305,-0.00039127490200566216
173924,0.08521640151883147,0.0008383505116092671
1746525,0.07579857672914672,0.0006049522775671698
1760150,0.0758429163888263,-0.0002075858392434228
1793105,0.07087921479751871,0.0014484820550759625
1806338,0.07464089608902581,-0.0013632162327110108
1848811,0.07247649630455254,-0.00035815364652299296
1882578,0.07124298746022013,-0.003806324855643786
1883593,0.07350862309384243,0.0006988709969687453
1905895,0.07069179595129187,0.0013643392267949435
1916328,0.0767861968272096,0.0017884615206035296
1929764,0.07091588761814609,0.0007327377869965091
1946948,0.07316545163094655,0.002326292019616577
2025857,0.0716210239276062,-0.00030580049852920854
2029437,0.0813260219653218,-0.000695408301549894
2030905,0.09274886888656539,-0.0010841749125788667
2035948,0.08041895617820707,2.700037388432603e-05
2066255,0.07176907132586911,-0.0009504575549275404
2107267,0.07014927803709807,-0.0025886879073930323
214879,0.071370680831151,0.0022688608754214854
2204421,0.08916433729282022,0.00021488618689457186
2205405,0.07090350963643542,0.0007356210020515594
2212503,0.07051122568082112,-0.0002475619238133146
2241357,0.07157773767175049,0.0006912573954754901
2260363,0.07096456045631909,-0.0009058590110874746
2274164,0.07130677037381784,-0.0012308734946000562
2357409,0.07325165073608812,0.001896093043805508
2365445,0.07645886174481252,-0.0012867754906075346
237223,0.07024356277387547,0.0010054300363113472
2375287,0.07125140937685139,3.764572896598044e-06
2417183,0.08302127609989417,0.00047207913089820127
2522869,0.07340784215835425,0.00276242879093063
279298,0.07179387003704252,5.188466645856639e-05
307913,0.07564089832838063,-0.0012265194669004982
32605,0.070318303256286,-0.0009110422702999549
338947,0.07906823073583258,0.0005687579608178663
424719,0.07247343053281932,0.002270178529047874
435296,0.07334686888525263,0.0021630138461237233
592916,0.0736272693332368,-0.0010951821567175264
594320,0.0702588216451637,0.0008857692860929809
603509,0.07110271815978596,-0.0004975626079211857
616206,0.07317050764077267,0.001252630687856608
6207,0.07264593507617641,-0.0018950214976555702
685150,0.07035550002846636,0.00022044116351738048
696985,0.08152995757310469,0.0006955009104710684
732981,0.08020810774185332,-0.002297426173535043
744480,0.07414941433155697,0.0017864717745410415
754888,0.07143271931200985,0.0006688846273867698
765496,0.0727934130056859,0.00030617046213552226
776327,0.0718348403764132,0.0004597828761003066
780158,0.07047572306010022,-0.0008934042775623547
785460,0.08061854078541635,-5.0443384493532775e-05
894078,0.07657566138136919,-0.000741893179835832
955718,0.08295059160891459,-0.0011581731531506302
988974,0.07118568591668367,0.003060789140755566
