subject,block_type,cos_w_true,w_norm,null_mean,null_std,p_perm_two,p_perm_pos,n_yes,n_no
2242025001,full_sentence,-0.25921203154461475,1.5905905003602225,0.009490021497978049,0.18350838824241872,0.12935323383084577,0.9502487562189055,79,70
2262025001,full_sentence,-0.0659889837722205,1.0204639838949425,0.0012670585184569561,0.1971565070415888,0.8059701492537313,0.6318407960199005,78,71
3032025001,full_sentence,0.3954580731228889,1.0627993702054959,0.026490870149800626,0.18768897713423735,0.04477611940298507,0.03482587064676617,62,87
3032025002,full_sentence,0.05743778471103497,1.485563130322831,-0.037619884279379165,0.2008218010743273,0.7611940298507462,0.32338308457711445,73,76
3062025001,full_sentence,0.23406779687355725,0.959378728498384,0.008867891275437016,0.18618857110108586,0.21890547263681592,0.11940298507462686,80,69
3062025002,full_sentence,0.18174456856437476,1.4476909099156665,0.00496630216077926,0.1948451956308233,0.3781094527363184,0.19900497512437812,33,116
3102025001,full_sentence,-0.07236037181161299,1.1189797056838944,-0.02366715650160481,0.19674749444783324,0.7213930348258707,0.5970149253731343,76,73
3102025002,full_sentence,0.043928282026900876,1.3324294085859212,0.02263458446671731,0.21059812007998086,0.845771144278607,0.472636815920398,76,73
3132025001,full_sentence,-0.292314920218806,0.8467788151185384,-0.008891926405179416,0.20589022498830903,0.15920398009950248,0.9203980099502488,70,79
3132026002,full_sentence,0.15388571830174344,1.5203512243227284,0.024063894461879023,0.19420998211281273,0.43781094527363185,0.23880597014925373,67,82
3172026001,full_sentence,-0.20778149981103586,1.1318323922277096,-0.027087972564466288,0.18440671149258958,0.2885572139303483,0.8159203980099502,55,94
3192026001,full_sentence,0.10636766624178141,1.357122764299814,-0.019440681990855982,0.20066875983011168,0.5621890547263682,0.2537313432835821,87,62
3202026001,full_sentence,0.15261434253916722,0.8563281523538848,-0.009727620221808373,0.20167484758074086,0.472636815920398,0.21890547263681592,68,81
3202026002,full_sentence,0.42291204479960237,0.9019482603656396,-0.0038863405323991216,0.19279033005885046,0.014925373134328358,0.009950248756218905,69,80
3292026001,full_sentence,0.00010851372794985774,1.0469424418789968,0.01486009058666677,0.21061650790523187,1.0,0.5522388059701493,84,65
4032026001,full_sentence,-0.1862866810990805,1.1703275427662674,0.010705823760130549,0.19603473141286668,0.32338308457711445,0.8656716417910447,70,79
4042026001,full_sentence,0.13200638746139476,1.3716799921766825,-0.03359138711430851,0.18160656647870105,0.48258706467661694,0.21393034825870647,72,77
4042026002,full_sentence,0.12435582903083899,1.3027522062727617,-0.004790109217327909,0.18946008706032877,0.4577114427860697,0.208955223880597,68,81
4042026003,full_sentence,-0.23106378795259605,1.1045306224449845,-0.0014765205449415648,0.18811100988859863,0.23880597014925373,0.8756218905472637,82,67
4062026001,full_sentence,-0.04430340743548705,1.8824493140953389,0.012309866239669938,0.22061093137451734,0.8606965174129353,0.5870646766169154,68,81
4142026001,full_sentence,0.2033629441468661,1.1892622724967805,-0.026600755200510334,0.1977815629216937,0.3681592039800995,0.15422885572139303,58,91
4142026002,full_sentence,0.24207307510589265,1.325778555198878,-0.011511140965898704,0.20612453842641518,0.24875621890547264,0.10945273631840796,74,75
4182026001,full_sentence,0.2273345953640267,1.0088357571961015,-0.00792687741513936,0.18462641775733105,0.208955223880597,0.07960199004975124,60,89
4182026002,full_sentence,-0.039075311808228166,1.4664172979656904,0.0018752909343233903,0.184812680597095,0.8407960199004975,0.582089552238806,67,82
4192026001,full_sentence,0.33286818727776735,0.9485993710835208,-0.010084718645615656,0.19542747777256378,0.07960199004975124,0.04477611940298507,84,65
4192026002,full_sentence,0.03983706775709144,0.8591540546618754,-0.013118437834531683,0.19615902691063344,0.8606965174129353,0.4228855721393035,84,65
2242025001,imagined_sentence,-0.22604014070461403,1.3202674775616858,-0.00041049143785547,0.19084718787553595,0.24378109452736318,0.8805970149253731,88,61
2262025001,imagined_sentence,0.32238523829482096,0.9098326483901092,0.0034720868785245843,0.18298791508266812,0.05472636815920398,0.03482587064676617,71,78
3032025001,imagined_sentence,-0.12564191129741745,1.0799220553461077,-0.03441376895853644,0.1911009899912129,0.5223880597014925,0.6865671641791045,84,65
3032025002,imagined_sentence,0.3341794117757779,1.3320626958835318,0.021703867368366225,0.1768174038686943,0.07960199004975124,0.04975124378109453,38,111
3062025001,imagined_sentence,-0.004716112222413205,1.3867806666063167,-0.006447400776606427,0.18371675506841137,0.9900497512437811,0.5074626865671642,80,69
3062025002,imagined_sentence,0.04998417937510968,1.0315516943856184,0.016139513503402713,0.18868954331158647,0.7960199004975125,0.4228855721393035,52,97
3102025001,imagined_sentence,0.09348887409497633,1.357466917217104,-0.0009287984417780315,0.19052175969638915,0.6069651741293532,0.31343283582089554,55,94
3102025002,imagined_sentence,-0.11467975812401011,1.2196022607318235,0.0330019823769932,0.17849506345198538,0.5223880597014925,0.7960199004975125,65,84
3132025001,imagined_sentence,-0.06954426058271829,0.9601624024178148,0.013592424092580702,0.18412404973241436,0.7064676616915423,0.6517412935323383,75,74
3132026002,imagined_sentence,-0.06298995015196641,1.3341364910663867,0.0010503154107389678,0.19365924014569233,0.7512437810945274,0.6268656716417911,52,97
3172026001,imagined_sentence,0.06701284844160328,1.1435565578913454,-0.024280953195271408,0.1847518661621192,0.736318407960199,0.32338308457711445,54,95
3192026001,imagined_sentence,0.1457626556395133,0.9349235846244134,-0.0016807421358241974,0.19401428195799908,0.46766169154228854,0.22885572139303484,73,76
3202026001,imagined_sentence,0.2503242893318438,1.0794238769188031,-0.004816123473665484,0.19762816743620082,0.19900497512437812,0.10945273631840796,74,75
3202026002,imagined_sentence,-0.14647680017451026,1.0380404594645465,0.004615325527948886,0.19071763019459395,0.4527363184079602,0.7810945273631841,65,84
3292026001,imagined_sentence,0.07086622582530175,1.2120887207222542,0.0166859766862119,0.19300726812281804,0.7313432835820896,0.39800995024875624,71,78
4032026001,imagined_sentence,0.008247349269515572,1.2197625155128071,-0.01513033278318294,0.19628791928190156,0.9651741293532339,0.4527363184079602,57,92
4042026001,imagined_sentence,-0.28230764253376006,1.1651348395351804,0.0038838728763708457,0.19816572712283392,0.1791044776119403,0.8855721393034826,70,79
4042026002,imagined_sentence,0.20027994811392852,1.2660081962867626,-0.004664417978613092,0.19712655371728333,0.3383084577114428,0.17412935323383086,70,79
4042026003,imagined_sentence,-0.24414064078795228,1.444277397145062,0.002453167457300968,0.19163027785957507,0.19900497512437812,0.9154228855721394,79,70
4062026001,imagined_sentence,0.33474144567371356,1.593117657830831,0.014859756468108179,0.1912634866346638,0.0845771144278607,0.04975124378109453,76,73
4142026001,imagined_sentence,0.26819290279778996,1.0101492160928083,-0.005558522256202554,0.203223344504212,0.18407960199004975,0.09950248756218906,47,102
4142026002,imagined_sentence,0.2951445564455875,1.3898331177203163,0.013603105932243056,0.19609882945132873,0.15920398009950248,0.09950248756218906,68,81
4182026001,imagined_sentence,-0.21732087559440294,0.822964762736057,-0.0011546265200560535,0.2005839115110085,0.26865671641791045,0.8706467661691543,76,73
4182026002,imagined_sentence,-0.0709795663584862,1.243147906845535,0.020269088792837,0.19988031860210395,0.7910447761194029,0.6517412935323383,77,72
4192026001,imagined_sentence,-0.031917264515453084,0.9042272380073797,-0.010646937992326713,0.20385556616016268,0.9054726368159204,0.4975124378109453,91,58
4192026002,imagined_sentence,0.23655701375369778,1.1577822919966174,-0.007008164360650793,0.193139512145503,0.24378109452736318,0.12437810945273632,88,61
